"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Shadow Mewtwo","Confusion","Psystrike","24.519","594","8756","3880"
"Shadow Mewtwo","Psycho Cut","Psystrike","24.469","592.8","8684.9","3880"
"Shadow Mewtwo","Confusion","Psychic","22.807","552.5","6555.3","3880"
"Shadow Mewtwo","Psycho Cut","Psychic","22.466","544.3","6171.6","3880"
"Shadow Metagross","Bullet Punch","Meteor Mash","21.009","562","5211.4","3520"
"Mewtwo","Confusion","Psystrike","20.19","587","4830.9","3880"
"Mewtwo","Psycho Cut","Psystrike","20.175","586.5","4816","3880"
"Shadow Mewtwo","Confusion","Shadow Ball","21.109","511.4","4809.8","3880"
"Shadow Salamence","Dragon Tail","Outrage","21.4","485.8","4761.4","3481"
"Shadow Metagross","Zen Headbutt","Meteor Mash","20.396","545.6","4629.3","3520"
"Shadow Mewtwo","Psycho Cut","Shadow Ball","20.49","496.4","4270","3880"
"Shadow Dragonite","Dragon Tail","Outrage","20.131","515.8","4208.4","3521"
"Shadow Salamence","Dragon Tail","Draco Meteor","20.723","470.4","4186.3","3481"
"Shadow Salamence","Fire Fang","Outrage","20.499","465.3","4008.3","3481"
"Shadow Moltres","Fire Spin","Sky Attack","20.32","474.8","3983.6","3218"
"Shadow Dragonite","Dragon Tail","Draco Meteor","19.639","503.2","3811.8","3521"
"Shadow Dragonite","Dragon Breath","Outrage","19.622","502.7","3798","3521"
"Shadow Mewtwo","Confusion","Thunderbolt","19.818","480.1","3737.2","3880"
"Shadow Moltres","Wing Attack","Sky Attack","19.864","464.2","3638.2","3218"
"Mewtwo","Confusion","Psychic","18.806","546.7","3636.5","3880"
"White Kyurem","Dragon Breath","Blizzard","18.13","601.5","3584.2","4276"
"Shadow Salamence","Bite","Outrage","19.909","452","3566.6","3481"
"Shadow Mewtwo","Confusion","Hyper Beam","19.481","472","3489.5","3880"
"Shadow Dragonite","Dragon Tail","Dragon Claw","19.207","492.1","3487.1","3521"
"Mewtwo","Psycho Cut","Psychic","18.539","539","3434.1","3880"
"Shadow Metagross","Bullet Punch","Psychic","18.906","505.8","3417.9","3520"
"Shadow Mewtwo","Confusion","Focus Blast","19.287","467.3","3352.3","3880"
"Shadow Mamoswine","Mud Slap","Avalanche","19.687","437.5","3338","3090"
