"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mewtwo","Confusion","Psystrike","20.19","587","4830.9","3880"
"Mewtwo","Psycho Cut","Psystrike","20.175","586.5","4816","3880"
"Mewtwo","Confusion","Psychic","18.806","546.7","3636.5","3880"
"White Kyurem","Dragon Breath","Blizzard","18.13","601.5","3584.2","4276"
"Mewtwo","Psycho Cut","Psychic","18.539","539","3434.1","3880"
"Regigigas","Zen Headbutt","Giga Impact","17.3","589.5","3051.9","4027"
"White Kyurem","Dragon Breath","Dragon Pulse","17.344","575.4","3002","4276"
"Reshiram","Fire Fang","Overheat","17.409","557.8","2943.1","3750"
"Zekrom","Dragon Breath","Wild Charge","17.37","556.5","2916.7","3750"
"Regigigas","Hidden Power (Fire)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Fighting)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Water)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Flying)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Grass)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Poison)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Electric)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Ground)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Psychic)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Rock)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Ice)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Bug)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Dragon)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Ghost)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Dark)","Giga Impact","17.103","582.8","2915.6","4027"
"Regigigas","Hidden Power (Steel)","Giga Impact","17.103","582.8","2915.6","4027"
"Metagross","Bullet Punch","Meteor Mash","17.36","557.3","2915.4","3520"
"Rayquaza","Dragon Tail","Outrage","18.034","490.2","2875.2","3561"
"White Kyurem","Steel Wing","Blizzard","17.124","568.1","2852.3","4276"
"Reshiram","Fire Fang","Draco Meteor","17.262","553.1","2844.8","3750"
"Mewtwo","Confusion","Shadow Ball","17.435","506.9","2686.5","3880"
"Palkia","Dragon Tail","Draco Meteor","17.241","521.3","2671.8","3706"
"Salamence","Dragon Tail","Outrage","17.64","480.5","2637.6","3481"
"Zekrom","Charge Beam","Wild Charge","16.854","540","2585.4","3750"
"Garchomp","Dragon Tail","Outrage","16.598","565.1","2584.1","3679"
"White Kyurem","Steel Wing","Dragon Pulse","16.706","554.2","2584","4276"
"Metagross","Zen Headbutt","Meteor Mash","16.832","540.3","2576.7","3520"
"Zekrom","Dragon Breath","Outrage","16.828","539.2","2569.6","3750"
"White Kyurem","Dragon Breath","Focus Blast","16.631","551.7","2538.1","4276"
"Dialga","Metal Claw","Draco Meteor","16.722","535.8","2505.5","3750"
"Reshiram","Dragon Breath","Overheat","16.639","533.1","2455.7","3750"
"Salamence","Dragon Tail","Draco Meteor","17.264","470.3","2420.1","3481"
"Mewtwo","Psycho Cut","Shadow Ball","16.931","492.2","2388.8","3880"
"Rayquaza","Air Slash","Outrage","17.196","467.4","2376.5","3561"
"Dialga","Dragon Breath","Draco Meteor","16.474","527.8","2359.8","3750"
"Reshiram","Dragon Breath","Draco Meteor","16.474","527.8","2359.8","3750"
"Dragonite","Dragon Tail","Outrage","16.631","511.3","2352.1","3521"
"Palkia","Dragon Tail","Hydro Pump","16.665","503.9","2332","3706"
"Palkia","Dragon Breath","Draco Meteor","16.66","503.7","2329.5","3706"
"Zekrom","Charge Beam","Outrage","16.274","521.4","2247.3","3750"
"Latios","Dragon Breath","Psychic","16.499","494.8","2222.2","3540"
"Moltres","Fire Spin","Sky Attack","16.763","470","2214.3","3218"
"Dragonite","Dragon Tail","Draco Meteor","16.379","503.6","2212.6","3521"
"Salamence","Fire Fang","Outrage","16.861","459.3","2202","3481"
"Kyogre","Waterfall","Surf","15.879","547.1","2190.4","3821"
"Meloetta (Pirouette Forme)","Quick Attack","Hyper Beam","16.232","509.6","2179.4","3635"
"Garchomp","Dragon Tail","Earthquake","15.894","541.1","2172.9","3679"
"Rhyperior","Mud Slap","Rock Wrecker","15.745","553.3","2159.4","3467"
"Landorus (Therian Forme)","Mud Shot","Earth Power","16.731","460.2","2155","3642"
"Giratina (Origin Forme)","Dragon Tail","Shadow Ball","15.304","595.7","2135","3420"
"Dragonite","Dragon Breath","Outrage","16.228","499","2132.3","3521"
"Chandelure","Fire Spin","Shadow Ball","17.722","382.5","2128.9","3035"
"Giratina (Origin Forme)","Shadow Claw","Shadow Ball","15.286","595","2125","3420"
"Mewtwo","Confusion","Thunderbolt","16.398","476.7","2102","3880"
"Garchomp","Mud Shot","Outrage","15.752","536.3","2096.3","3679"
"Volcarona","Bug Bite","Overheat","16.524","462.7","2087.4","3373"
"Victini","Confusion","V-create","15.633","544","2078.7","3032"
"Landorus (Therian Forme)","Rock Throw","Earth Power","16.55","455.2","2063.5","3642"
"Haxorus","Dragon Tail","Dragon Claw","17.145","409.1","2061.7","3336"
"Jirachi","Confusion","Doom Desire","15.578","542.1","2049.3","3032"
"Rayquaza","Dragon Tail","Hurricane","16.536","449.5","2032.5","3561"
"Victini","Quick Attack","V-create","15.538","540.7","2028.5","3032"
"White Kyurem","Steel Wing","Focus Blast","15.721","521.5","2026.4","4276"
"Mewtwo","Confusion","Hyper Beam","16.248","472.3","2025.9","3880"
"Moltres","Wing Attack","Sky Attack","16.392","459.6","2024.2","3218"
"Palkia","Dragon Breath","Hydro Pump","16.076","486.1","2019.6","3706"
"Palkia","Dragon Tail","Aqua Tail","16.072","486","2017.5","3706"
"Volcarona","Fire Spin","Overheat","16.358","458.1","2005","3373"
"Lucario","Counter","Aura Sphere","17.98","344.5","2002.4","2510"
"Darkrai","Snarl","Shadow Ball","16.67","427.9","1982.2","3472"
"Rhyperior","Smack Down","Rock Wrecker","15.391","540.8","1971.6","3467"
"Salamence","Bite","Outrage","16.375","446.1","1958.9","3481"
"Dragonite","Dragon Tail","Dragon Claw","15.884","488.4","1957.2","3521"
"Salamence","Dragon Tail","Return","16.371","446","1956.9","3481"
"Meloetta (Aria Forme)","Quick Attack","Hyper Beam","15.149","562.3","1955.1","3688"
"Latios","Zen Headbutt","Psychic","15.972","479","1951.5","3540"
"Dragonite","Dragon Breath","Draco Meteor","15.861","487.7","1945.7","3521"
"Mewtwo","Confusion","Focus Blast","16.084","467.6","1945.4","3880"
"Conkeldurr","Counter","Dynamic Punch","16.279","450.1","1941.9","3099"
"Shaymin (Sky Forme)","Hidden Power (Flying)","Grass Knot","16.191","453.2","1923.8","3336"
"Shaymin (Sky Forme)","Hidden Power (Grass)","Grass Knot","16.191","453.2","1923.8","3336"
"Metagross","Bullet Punch","Psychic","15.646","502.3","1923.6","3520"
"Kyogre","Waterfall","Hydro Pump","15.33","528.1","1902.6","3821"
"Chandelure","Incinerate","Shadow Ball","17.219","371.6","1897.2","3035"
"Mewtwo","Confusion","Flamethrower","15.949","463.7","1880.8","3880"
"Meloetta (Aria Forme)","Confusion","Hyper Beam","15.002","556.9","1880.3","3688"
"Chandelure","Hex","Shadow Ball","17.176","370.7","1878.3","3035"
"Ho-Oh","Incinerate","Brave Bird","14.882","568.8","1875","3587"
"Rampardos","Smack Down","Rock Slide","17.79","332.7","1873.1","3062"
"Dragonite","Steel Wing","Outrage","15.62","480.3","1830.2","3521"
"Salamence","Fire Fang","Draco Meteor","16.099","438.6","1829.7","3481"
"Mamoswine","Mud Slap","Avalanche","16.173","431.2","1824.2","3090"
"Meloetta (Pirouette Forme)","Low Kick","Hyper Beam","15.514","487.1","1818.9","3635"
"Dialga","Metal Claw","Iron Head","15.422","494.1","1812.4","3750"
"Dialga","Dragon Breath","Iron Head","15.346","491.7","1777","3750"
"Raikou","Thunder Shock","Wild Charge","15.585","468.2","1772.5","3205"
"Darkrai","Snarl","Dark Pulse","16.209","416","1771.6","3472"
"Palkia","Dragon Breath","Aqua Tail","15.554","470.3","1769.9","3706"
"Mewtwo","Confusion","Ice Beam","15.706","456.6","1769.1","3880"
"Latios","Dragon Breath","Dragon Claw","15.568","466.9","1761.5","3540"
"Metagross","Zen Headbutt","Psychic","15.301","491.2","1759.6","3520"
"Lucario","Bullet Punch","Aura Sphere","17.407","333.5","1759.1","2510"
"Dragonite","Dragon Tail","Return","15.461","475.4","1757.1","3521"
"Darmanitan","Fire Fang","Overheat","17.084","352.2","1756.3","2883"
"Entei","Fire Fang","Overheat","15.298","487.8","1746.3","3225"
"Lugia","Extrasensory","Aeroblast","13.499","706.8","1738.5","3438"
"Darkrai","Feint Attack","Shadow Ball","16.13","414","1737.7","3472"
"Mewtwo","Psycho Cut","Thunderbolt","15.626","454.3","1733.3","3880"
