"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Black Kyurem","Dragon Tail","Outrage","20.266","724","6026.4","4605"
"Mewtwo","Confusion","Psystrike","20.918","654.9","5994.3","4178"
"White Kyurem","Dragon Breath","Blizzard","18.793","671.4","4456.5","4605"
"Regigigas","Zen Headbutt","Giga Impact","17.964","659.2","3821","4337"
"Reshiram","Fire Fang","Overheat","18.075","623.7","3683","4038"
"Metagross","Bullet Punch","Meteor Mash","17.983","621.7","3615.5","3791"
"Zekrom","Dragon Breath","Wild Charge","17.975","620.2","3601.8","4038"
"Rayquaza","Dragon Tail","Outrage","18.68","546.8","3564.4","3835"
"Palkia","Dragon Tail","Draco Meteor","17.91","583.2","3350.3","3991"
"Salamence","Dragon Tail","Outrage","18.271","536","3269.2","3749"
"Garchomp","Dragon Tail","Outrage","17.19","630.3","3201.8","3962"
"Dialga","Metal Claw","Draco Meteor","17.36","599","3134.1","4038"
"Dragonite","Dragon Tail","Outrage","17.229","570.5","2917.6","3792"
"Latios","Dragon Breath","Psychic","17.077","551.5","2746.2","3812"
"Moltres","Fire Spin","Sky Attack","17.361","524.2","2742.9","3465"
"Meloetta (Pirouette Forme)","Quick Attack","Hyper Beam","16.854","569.9","2728.4","3915"
"Kyogre","Waterfall","Surf","16.447","610.2","2714.9","4115"
"Rhyperior","Mud Slap","Rock Wrecker","16.304","617","2674.3","3733"
"Landorus (Therian Forme)","Mud Shot","Earth Power","17.32","513","2665.6","3922"
"Chandelure","Fire Spin","Shadow Ball","18.372","427","2647.6","3268"
"Giratina (Origin Forme)","Dragon Tail","Shadow Ball","15.84","663.9","2638.6","3683"
"Volcarona","Bug Bite","Overheat","17.152","517.2","2609.8","3632"
"Victini","Confusion","V-create","16.183","606.5","2570.4","3265"
"Haxorus","Dragon Tail","Dragon Claw","17.751","456.1","2551.2","3593"
"Jirachi","Confusion","Doom Desire","16.124","604.2","2532.7","3265"
"Lucario","Counter","Aura Sphere","18.621","384.2","2480.6","2703"
"Darkrai","Snarl","Shadow Ball","17.281","477.7","2465.3","3739"
"Meloetta (Aria Forme)","Quick Attack","Hyper Beam","15.725","628.6","2444.3","3972"
"Conkeldurr","Counter","Dynamic Punch","16.852","501.7","2401.1","3337"
"Shaymin (Sky Forme)","Hidden Power (Flying)","Grass Knot","16.767","505.5","2382.7","3592"
"Ho-Oh","Incinerate","Brave Bird","15.457","636.2","2349.5","3863"
"Rampardos","Smack Down","Rock Slide","18.413","370.8","2314.5","3298"
"Mamoswine","Mud Slap","Avalanche","16.743","480.8","2256.5","3328"
"Darmanitan","Fire Fang","Overheat","17.742","393.9","2199.9","3105"
"Raikou","Thunder Shock","Wild Charge","16.133","522","2191.8","3452"
"Entei","Fire Fang","Overheat","15.873","545","2179.5","3473"
"Lugia","Extrasensory","Aeroblast","14.01","789.9","2172.2","3703"
"Honchkrow","Snarl","Sky Attack","18.098","355.7","2108.5","2711"
"Blaziken","Counter","Blast Burn","17.505","388.5","2083.8","2848"
"Gengar","Lick","Shadow Ball","18.109","350.4","2080.9","2878"
"Groudon","Dragon Tail","Earthquake","15.382","570.7","2077.1","4115"
"Galarian Darmanitan","Ice Fang","Avalanche","17.446","387.3","2056.5","3105"
"Heatran","Fire Spin","Flamethrower","15.492","549.1","2041.5","3754"
"Kyurem","Dragon Breath","Draco Meteor","15.688","523.6","2021.6","3575"
"Zapdos","Thunder Shock","Drill Peck","15.978","492.3","2008.2","3527"
"Terrakion","Smack Down","Rock Slide","15.696","505.1","1953.1","3698"
"Empoleon","Metal Claw","Hydro Cannon","16.02","473.7","1947.8","2900"
"Espeon","Confusion","Psychic","16.965","398.2","1944.3","3170"
"Alakazam","Confusion","Psychic","17.521","356.3","1916.4","3057"
"Electivire","Thunder Shock","Wild Charge","16.735","405.2","1898.8","3079"
"Swampert","Water Gun","Hydro Cannon","15.61","494","1879.1","2974"
"Yveltal","Snarl","Hurricane","15.069","545.9","1867.9","3781"
"Machamp","Counter","Dynamic Punch","16.211","434.6","1851.5","3056"
"Landorus (Incarnate Forme)","Mud Shot","Earth Power","15.75","473.7","1850.7","3588"
"Weavile","Snarl","Avalanche","16.608","400.9","1836.2","3005"
"Kingler","Bubble","Crabhammer","16.982","371.9","1821.4","2829"
"Arceus","Shadow Claw","Hyper Beam","14.111","621.9","1747.3","3982"
"Magnezone","Spark","Wild Charge","15.677","447.6","1724.7","3205"
"Tyranitar","Bite","Return","14.676","542.7","1715.4","3834"
"Sceptile","Fury Cutter","Frenzy Plant","16.367","390.8","1713.6","2757"
"Latias","Dragon Breath","Psychic","14.646","543.8","1708.3","3510"
"Xerneas","Tackle","Giga Impact","14.722","533.3","1701.6","3781"
"Keldeo","Low Kick","Hydro Pump","15.142","487.2","1691.5","3698"
"Roserade","Poison Jab","Grass Knot","16.301","384.6","1665.8","2971"
"Charizard","Fire Spin","Blast Burn","15.875","416.3","1665.4","2889"
"Excadrill","Mud Slap","Drill Run","15.954","409.7","1663.8","3244"
"Crawdaunt","Snarl","Crabhammer","17.116","326.3","1636.4","2474"
"Hydreigon","Bite","Dark Pulse","15.056","479.4","1636.1","3625"
"Hawlucha","Wing Attack","Flying Press","16.232","380.4","1626.7","2410"
"Feraligatr","Water Gun","Hydro Cannon","15.255","457.7","1624.9","2857"
"Staraptor","Quick Attack","Brave Bird","16.291","373.2","1613.7","2825"
"Deoxys (Normal Forme)","Zen Headbutt","Thunderbolt","18.515","253.9","1611.6","3160"
"Azelf","Confusion","Future Sight","16.275","367.5","1584.3","3210"
"Thundurus (Therian Forme)","Thunder Shock","Thunder","15.896","394.1","1583.2","3659"
"Cobalion","Metal Claw","Sacred Sword","14.277","541.5","1575.8","3022"
"Genesect","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Burn Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Chill Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Douse Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Shock Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Exeggutor","Confusion","Psychic","15.598","410.1","1556.3","3014"
"Porygon-Z","Lock-On","Return","15.828","386.1","1531","3266"
"Gallade","Confusion","Psychic","15.452","414.4","1528.9","3093"
"Gardevoir","Confusion","Psychic","15.452","414.4","1528.9","3093"
"Tyrantrum","Dragon Tail","Outrage","15.032","447","1518.2","3128"
"Hariyama","Counter","Dynamic Punch","15.19","431.1","1511","2829"
"Goodra","Dragon Breath","Draco Meteor","13.974","553.3","1509.9","3505"
"Clawitzer","Water Gun","Crabhammer","15.736","383.9","1495.9","2763"
"Alolan Exeggutor","Dragon Tail","Solar Beam","15.352","413.5","1495.9","3014"
"Breloom","Counter","Grass Knot","16.803","315.2","1495.3","2628"
"Delphox","Fire Spin","Psychic","15.235","422.7","1495","3059"
"Typhlosion","Incinerate","Blast Burn","15.451","405.2","1494.5","2889"
"Infernape","Fire Spin","Blast Burn","15.944","363.7","1474","2683"
"Deoxys (Attack Forme)","Zen Headbutt","Dark Pulse","21.856","140.6","1468.2","2580"
"Flareon","Fire Spin","Overheat","15.724","376.8","1465","3029"
"Luxray","Spark","Wild Charge","15.642","380.5","1456.3","2888"
"Zygarde (50% Forme)","Dragon Tail","Outrage","13.508","588.1","1449.7","3410"
"Tangrowth","Vine Whip","Power Whip","14.452","479","1446","3030"
"Tornadus (Incarnate Forme)","Air Slash","Grass Knot","15.407","388.5","1421","3345"
"Braviary","Air Slash","Brave Bird","15.027","418","1418.3","3088"
"Sirfetch'd","Counter","Brave Bird","15.756","361.3","1413.3","2985"
"Glaceon","Frost Breath","Avalanche","15.075","409.7","1403.4","3126"
"Celebi","Confusion","Psychic","13.903","521","1400","3265"
"Togekiss","Charm","Dazzling Gleam","14.2","486.9","1394.1","3332"
"Venusaur","Vine Whip","Frenzy Plant","14.782","429","1385.6","2720"
"Torterra","Razor Leaf","Frenzy Plant","14.33","466.3","1372.1","2934"
"Heracross","Counter","Megahorn","14.909","411.5","1363.5","3101"
"Gyarados","Waterfall","Hydro Pump","14.23","458.5","1321.3","3391"
"Alolan Golem","Rock Throw","Wild Charge","14.377","435.7","1294.8","2949"
"Mew","Snarl","Psychic","13.626","510.6","1291.8","3265"
"Armored Mewtwo","Confusion","Psystrike","12.885","600","1283.5","3187"
"Arcanine","Fire Fang","Flamethrower","14.614","407.5","1272","3029"
"Magmortar","Fire Spin","Return","14.901","379","1253.9","3132"
"Shaymin (Land Forme)","Hidden Power (Grass)","Grass Knot","13.495","505.7","1242.7","3265"
"Krookodile","Snarl","Earthquake","14.535","403.1","1237.7","3046"
"Archeops","Wing Attack","Dragon Claw","15.577","326.3","1233.2","3331"
"Aurorus","Rock Throw","Weather Ball Ice","13.679","473.1","1211.2","2802"
"Zoroark","Snarl","Foul Play","16.377","274.4","1205.2","2571"
"Ursaring","Counter","Return","14.86","364","1194.4","2945"
"Pyroar","Fire Fang","Overheat","14.862","363.7","1193.7","2767"
"Unfezant","Air Slash","Sky Attack","15.108","346","1193.2","2734"
"Rhydon","Mud Slap","Earthquake","13.817","442.3","1166.7","3179"
"Gigalith","Smack Down","Rock Slide","13.742","438.8","1138.7","3228"
"Beheeyem","Confusion","Psychic","14.666","355.1","1120.2","2753"
"Gogoat","Vine Whip","Leaf Blade","13.739","429.8","1114.7","2798"
"Thundurus  (Incarnate Forme)","Thunder Shock","Thunder","14.468","364.8","1104.8","3345"
"Chesnaught","Vine Whip","Solar Beam","13.497","449.2","1104.4","2954"
"Leafeon","Razor Leaf","Leaf Blade","13.939","402.9","1091.3","2944"
"Mr. Rime","Confusion","Psychic","14.069","388.3","1081.4","2827"
"Houndoom","Fire Fang","Foul Play","14.939","323.1","1077.2","2635"
"Golurk","Mud Slap","Earth Power","14.294","368.8","1077.2","2854"
"Jolteon","Thunder Shock","Thunderbolt","14.46","351.9","1064","2888"
"Toxicroak","Counter","Dynamic Punch","14.9","321.4","1063","2488"
"Trevenant","Shadow Claw","Shadow Ball","14.329","358","1053.2","2559"
"Tornadus (Therian Forme)","Air Slash","Grass Knot","13.793","396.4","1040.2","3215"
"Emboar","Low Kick","Focus Blast","14.23","360.4","1038.4","2982"
"Jynx","Confusion","Avalanche","14.989","307.4","1035","2555"
"Giratina (Altered Forme)","Shadow Claw","Dragon Claw","11.99","597.1","1029.2","3379"
"Avalugg","Ice Fang","Avalanche","12.584","514.4","1025","3198"
"Sylveon","Charm","Dazzling Gleam","12.992","458.2","1004.8","3069"
"Banette","Shadow Claw","Shadow Ball","15.513","268.7","1002.9","2298"
"Snorlax","Lick","Return","12.263","540.2","996.4","3225"
"Aerodactyl","Rock Throw","Rock Slide","14.032","347.4","959.7","2783"
"Pinsir","Bug Bite","Return","14.086","342.8","958.1","2959"
"Leavanny","Bug Bite","Leaf Blade","14.051","344","954.2","2580"
"Escavalier","Bug Bite","Megahorn","13.811","362","953.6","2889"
"Donphan","Mud Slap","Earthquake","13.255","408.4","951.2","3013"
"Mismagius","Hex","Shadow Ball","14.118","336.4","946.6","2615"
"Cacturne","Sucker Punch","Grass Knot","15.38","259.5","944.1","2298"
"Golem","Rock Throw","Earthquake","13.25","401.5","934","2949"
"Mesprit","Confusion","Future Sight","12.996","419.7","921.3","3058"
"Mienshao","Low Kick","Grass Knot","15.127","265.3","918.5","2710"
"Simisage","Vine Whip","Grass Knot","14.606","294","916.3","2350"
"Vaporeon","Water Gun","Hydro Pump","12.657","451.4","915.3","3114"
"Virizion","Quick Attack","Leaf Blade","12.457","472.5","913.3","3022"
"Scizor","Fury Cutter","X-Scissor","13.759","350","911.5","3001"
"Hippowdon","Fire Fang","Earth Power","12.554","455.8","901.9","3085"
"Zebstrika","Spark","Wild Charge","14.467","297.1","899.6","2428"
"Greninja","Feint Attack","Surf","14.175","313.8","893.7","2654"
"Bisharp","Snarl","Dark Pulse","13.932","328.7","888.8","2844"
"Eelektross","Spark","Thunderbolt","13.761","339.7","885.1","2732"
"Druddigon","Dragon Tail","Dragon Claw","13.64","348.5","884.4","2732"
"Pangoro","Snarl","Close Combat","13.57","350.2","875.2","2902"
"Absol","Snarl","Return","15.134","252.4","874.8","2526"
"Granbull","Charm","Play Rough","14.025","315.5","870.3","2552"
"Blastoise","Water Gun","Hydro Cannon","12.903","403.5","867","2466"
"Victreebel","Acid","Leaf Blade","14.172","302.4","860.8","2431"
"Manectric","Snarl","Wild Charge","14.695","270.8","859.2","2340"
"Heliolisk","Quick Attack","Thunderbolt","14.061","308.9","858.9","2600"
"Shiftry","Snarl","Leaf Blade","14.197","297.5","851.3","2333"
"Flygon","Dragon Tail","Earth Power","13.445","350","850.6","2661"
"Melmetal","Thunder Shock","Thunderbolt","12.001","476.3","823.2","3599"
"Drifblim","Hex","Shadow Ball","13.258","352","820.2","2382"
"Omastar","Rock Throw","Rock Slide","13.027","365.2","807.3","2786"
"Milotic","Waterfall","Surf","12.094","453.7","802.5","3005"
"Vileplume","Acid","Sludge Bomb","13.408","331.9","800","2559"
"Sawk","Low Kick","Focus Blast","13.663","312.2","796.2","2788"
"Reuniclus","Zen Headbutt","Shadow Ball","12.864","374","796","2927"
"Manaphy","Bubble","Psychic","12.036","451","786.4","3265"
"Starmie","Water Gun","Psychic","13.52","317.4","784.3","2584"
"Scolipede","Bug Bite","Sludge Bomb","13.666","306.3","781.8","2447"
