Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Ducklett,93.5,water,flying,57.6,71.3,106,435461,24,Wing Attack,Aerial Ace,Brave Bird,7,8,3,50000
Bulbasaur (Shadow),91.8,grass,poison,68.2,69.3,77,363775,17.5,Vine Whip,Seed Bomb,Sludge Bomb,5,7,3,10000
Cottonee,91.7,grass,fairy,53.5,89.1,96,457749,28.5,Charm,Grass Knot,Seed Bomb,9,7,1,10000
Bulbasaur,90,grass,poison,68.2,69.3,77,363775,17.5,Vine Whip,Seed Bomb,Sludge Bomb,5,7,3,10000
Vulpix (Shadow),88.6,fire,none,64,77.3,79,390846,22.5,Quick Attack,Weather Ball (Fire),Body Slam,5,5,3,50000
Oddish (Shadow),88.5,grass,poison,72.1,65.7,73,346115,16,Razor Leaf,Sludge Bomb,Seed Bomb,13,10,3,50000
Chikorita,87.9,grass,none,59.5,84.9,83,418811,21.5,Vine Whip,Body Slam,Grass Knot,5,7,3,10000
Vulpix,87.6,fire,none,64,77.3,79,390846,22.5,Quick Attack,Weather Ball (Fire),Body Slam,5,5,3,50000
Budew,86.6,grass,poison,61.5,76.4,86,404289,23.5,Razor Leaf,Grass Knot,Energy Ball,13,14,3,10000
Chinchou,86.2,water,electric,62.3,60.1,107,400749,18,Spark,Thunderbolt,Bubble Beam,7,5,3,50000
Turtwig (Shadow),86,grass,none,66.7,65.7,85,372500,16.5,Razor Leaf,Body Slam,Seed Bomb,9,10,3,10000
Growlithe (Shadow),85.3,fire,none,74,55.4,82,335874,15,Ember,Body Slam,Flamethrower,6,10,3,50000
Oddish,85,grass,poison,72.1,65.7,73,346115,16,Razor Leaf,Sludge Bomb,Seed Bomb,13,10,3,50000
Seel,84.4,water,none,53.8,80.4,106,458992,20.5,Ice Shard,Aqua Tail,Icy Wind,4,5,3,50000
Lotad,83.9,water,grass,58.6,69.6,104,424292,38.5,Razor Leaf,Energy Ball,Bubble Beam,14,10,3,50000
Tentacool,83.9,water,poison,58.6,93.1,77,420040,18.5,Poison Sting,Wrap,Bubble Beam,5,5,3,50000
Tepig,83.7,fire,none,67.4,56.7,96,366951,18,Ember,Body Slam,Flame Charge,6,9,3,10000
Wooper (Shadow),83.5,water,ground,59.7,60.5,116,418656,34,Mud Shot,Body Slam,Mud Bomb,4,5,3,50000
Sewaddle,83.3,bug,grass,59.7,83,83,411740,20,Bug Bite,Seed Bomb,Silver Wind,14,15,1,10000
Foongus,83.2,grass,poison,60.9,61.5,109,408690,20,Feint Attack,Body Slam,Grass Knot,6,9,3,50000
Exeggcute (Shadow),83.1,grass,psychic,61.1,76,88,408941,17,Confusion,Seed Bomb,Ancient Power,4,4,3,50000
Chespin,82.7,grass,none,64.6,66.9,89,384562,18,Vine Whip,Body Slam,Seed Bomb,5,5,3,10000
Turtwig,82.6,grass,none,66.7,65.7,85,372500,16.5,Razor Leaf,Body Slam,Seed Bomb,9,10,3,10000
Paras,82.2,bug,grass,72.8,64.6,72,338710,19,Bug Bite,Cross Poison,Seed Bomb,12,14,3,50000
