Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Registeel,96,steel,none,95.5,189.6,130,2353244,23,Lock On,Zap Cannon,Focus Blast,16,15,20,100000
Lucario,92.7,fighting,steel,145.8,95.6,110,1532231,20.5,Counter,Power-Up Punch,Shadow Ball,5,8,5,75000
Ferrothorn,91.7,grass,steel,107.3,155.1,125,2080828,24,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Escavalier,91.5,bug,steel,133.9,116.8,107,1673454,19.5,Counter,Drill Run,Megahorn,7,8,3,50000
Araquanid,91.2,water,bug,97.9,176.1,133,2292389,33.5,Bug Bite,Bug Buzz,Bubble Beam,20,14,3,50000
Swampert (Shadow),90.9,water,ground,123,108.6,136,1815930,18.5,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Swampert,90.4,water,ground,123,108.6,136,1815930,18.5,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Ludicolo,89.2,water,grass,117.1,123.7,132,1912593,24,Razor Leaf,Ice Beam,Leaf Storm,14,14,3,50000
Pelipper,87.3,water,flying,123.3,128.7,114,1809463,26,Wing Attack,Weather Ball (Water),Hurricane,5,10,3,50000
Lombre,87,water,grass,106.7,112.6,142,1706340,50,Razor Leaf,Grass Knot,Bubble Beam,13,10,3,50000
Quagsire,85.4,water,ground,111.3,112,161,2005558,28.5,Mud Shot,Earthquake,Stone Edge,8,7,3,50000
Poliwrath (Shadow),84.9,water,fighting,116.5,119.7,138,1924689,22,Mud Shot,Ice Punch,Dynamic Punch,5,6,3,50000
Jellicent,84.6,water,ghost,106.7,124.3,157,2082451,24,Hex,Bubble Beam,Shadow Ball,4,5,3,50000
Mawile (Shadow),83.2,steel,fairy,125.9,121.2,117,1784529,38.5,Fire Fang,Power-Up Punch,Play Rough,7,12,5,75000
Perrserker,83.1,steel,none,128.9,114.6,117,1728225,23.5,Shadow Claw,Close Combat,Foul Play,6,6,3,50000
Quagsire (Shadow),82.1,water,ground,111.3,112,161,2005558,28.5,Mud Shot,Earthquake,Stone Edge,8,7,3,50000
Poliwrath,80.7,water,fighting,116.5,119.7,138,1924689,22,Mud Shot,Ice Punch,Dynamic Punch,5,6,3,50000
Wormadam (Trash),80.7,bug,steel,105.2,150.9,134,2126928,42.5,Bug Bite,Bug Buzz,Iron Head,20,17,1,10000
Politoed (Shadow),80.5,water,none,114.7,121.7,140,1954251,23,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Magnezone (Shadow),80.2,electric,steel,134.9,120.1,102,1652719,17,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Forretress,80.1,bug,steel,110.2,141.6,130,2028758,25,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Castform (Rainy),79.8,water,none,113.4,119.6,146,1979669,38.5,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Tapu Fini,79.8,water,fairy,115.3,155.3,108,1934126,20,Water Gun,Surf,Moonblast,14,20,20,100000
Whiscash,79.8,water,ground,107.6,107.6,178,2060545,27,Mud Shot,Mud Bomb,Blizzard,5,9,1,10000
Golduck (Shadow),79.4,water,none,125.5,112.2,127,1787063,22.5,Water Gun,Cross Chop,Synchronoise,12,17,3,50000
Cradily,79.1,rock,grass,106.3,139,143,2111521,26,Bullet Seed,Grass Knot,Stone Edge,4,5,3,50000
Marshtomp (Shadow),78.8,water,ground,120.3,108.9,142,1860776,35,Mud Shot,Mud Bomb,Surf,5,5,3,10000
Walrein,78.8,ice,water,113.1,114.3,153,1978119,20.5,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Gastrodon,78.5,water,ground,114.4,102.5,167,1957876,24.5,Mud Slap,Earth Power,Body Slam,7,5,3,50000
Azumarill,78.3,water,fairy,93.7,134.1,190,2387435,43.5,Bubble,Ice Beam,Hydro Pump,5,7,3,50000
Blastoise,78.2,water,none,111.5,140.7,127,1992357,22.5,Water Gun,Hydro Cannon,Skull Bash,14,25,3,10000
Skarmory (Shadow),78.2,steel,flying,106.2,163.1,122,2113576,27,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Stunfisk (Galarian),78,ground,steel,101.8,127.9,169,2200089,26.5,Mud Shot,Earthquake,Rock Slide,8,5,5,75000
Barbaracle,77.6,rock,water,120.4,133.1,115,1841752,20.5,Fury Cutter,Cross Chop,Grass Knot,9,13,3,50000
Gyarados (Shadow),77.4,water,flying,130.8,108,121,1708726,16.5,Waterfall,Aqua Tail,Crunch,5,6,1,10000
Magnezone,77.3,electric,steel,134.9,120.1,102,1652719,17,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Mawile,77,steel,fairy,125.9,121.2,117,1784529,38.5,Fire Fang,Power-Up Punch,Play Rough,7,12,5,75000
Melmetal,76.9,steel,none,121.5,107.8,141,1846977,15.5,Thunder Shock,Rock Slide,Superpower,5,5,20,100000
Gyarados,76.8,water,flying,130.8,108,121,1708726,16.5,Waterfall,Aqua Tail,Crunch,5,6,1,10000
Skarmory,76.4,steel,flying,106.2,163.1,122,2113576,27,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Walrein (Shadow),76.4,ice,water,113.1,114.3,153,1978119,20.5,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Cradily (Shadow),76.2,rock,grass,106.3,139,143,2111521,26,Bullet Seed,Grass Knot,Stone Edge,4,5,3,50000
Swanna,75.9,water,flying,129.3,99.7,134,1727466,26.5,Water Gun,Hurricane,Bubble Beam,22,14,3,50000
Politoed,75.8,water,none,114.7,121.7,140,1954251,23,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Azumarill,75.7,water,fairy,95.3,130.7,188,2341657,39.5,Bubble,Play Rough,Hydro Pump,6,7,3,50000
Lileep,75.2,rock,grass,100.8,138.6,151,2111110,50,Bullet Seed,Grass Knot,Ancient Power,4,4,3,50000
Mantine,75.2,water,flying,106.2,163.1,122,2113576,27,Bullet Seed,Aerial Ace,Bubble Beam,4,4,5,75000
Marshtomp,75.2,water,ground,120.3,108.9,142,1860776,35,Mud Shot,Mud Bomb,Surf,5,5,3,10000
Seismitoad,74.8,water,ground,120.3,101.5,152,1856073,22,Mud Shot,Earth Power,Muddy Water,7,4,3,50000
Regirock,74.5,rock,none,103.7,180.2,115,2149641,18,Lock On,Stone Edge,Earthquake,11,13,20,100000
Bastiodon,74.2,rock,steel,81.1,246.7,138,2761698,47.5,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Magneton (Shadow),73.5,electric,steel,144.7,112.8,95,1550755,22,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Scizor (Shadow),73.5,bug,steel,137.9,110.3,106,1612512,18.5,Fury Cutter,Night Slash,X-Scissor,9,9,5,75000
Sandslash (Alolan) (Shadow),73.2,ice,steel,116.6,132.6,124,1917384,23,Shadow Claw,Ice Punch,Bulldoze,5,8,3,50000
Excadrill,72.7,ground,steel,142.7,78.8,139,1561805,17,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Durant,72.6,bug,steel,135.9,121.2,100,1647192,21,Bug Bite,X-Scissor,Stone Edge,12,19,3,50000
Forretress (Shadow),72.6,bug,steel,110.2,141.6,130,2028758,25,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Magnemite (Shadow),72.4,electric,steel,148.7,113.4,89,1501640,50,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Samurott,72.3,water,none,129,102.2,132,1740020,20,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Lanturn,72.1,water,electric,104.8,104.8,194,2131348,27,Spark,Thunderbolt,Hydro Pump,7,10,3,50000
Blastoise (Shadow),71.9,water,none,111.5,140.7,127,1992357,22.5,Water Gun,Hydro Cannon,Skull Bash,14,25,3,10000
Poliwhirl,71.7,water,none,115.1,114.3,148,1947108,50,Mud Shot,Mud Bomb,Scald,5,6,3,50000
Bastiodon,71.6,rock,steel,84.7,236.2,132,2641811,39,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Feraligatr (Shadow),71.6,water,none,123.3,118,124,1803586,19.5,Water Gun,Hydro Cannon,Crunch,14,15,3,10000
Sudowoodo (Shadow),71.5,rock,none,117.2,130.1,125,1905357,26,Counter,Rock Slide,Earthquake,7,10,5,75000
Vaporeon,71.5,water,none,119,97.2,163,1886587,17.5,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Alomomola,71,water,none,96.7,98.8,240,2292831,26,Waterfall,Psychic,Hydro Pump,7,10,5,75000
Crawdaunt,71,water,dark,144.5,96.9,110,1540695,22.5,Snarl,Night Slash,Crabhammer,3,4,3,50000
Lapras,70.7,water,ice,104.7,114,179,2135530,21.5,Ice Shard,Surf,Skull Bash,4,8,5,75000
Wailmer,70.2,water,none,117.4,68.3,239,1916533,48.5,Water Gun,Body Slam,Heavy Slam,12,17,1,10000
Palpitoad,70.1,water,ground,116.6,101.6,162,1919059,48.5,Mud Shot,Earth Power,Water Pulse,7,7,3,50000
Sealeo,70.1,ice,water,108.6,113.2,167,2053854,36.5,Powder Snow,Body Slam,Water Pulse,5,8,3,50000
Bibarel,70,normal,water,124.2,97.7,149,1807978,30.5,Water Gun,Surf,Hyper Fang,14,17,1,10000
Sandslash (Alolan),70,ice,steel,116.6,132.6,124,1917384,23,Shadow Claw,Ice Punch,Bulldoze,5,8,3,50000
Empoleon,69.9,water,steel,125.8,115.9,122,1777988,19,Waterfall,Hydro Cannon,Drill Peck,5,5,3,10000
Croconaw (Shadow),69.8,water,none,118.8,118.8,134,1891327,35,Water Gun,Crunch,Ice Punch,15,14,3,10000
Dewgong,69.6,water,ice,102.9,133.8,158,2174933,29,Ice Shard,Icy Wind,Water Pulse,5,6,3,50000
Bibarel (Shadow),69.5,normal,water,124.2,97.7,149,1807978,30.5,Water Gun,Surf,Hyper Fang,14,17,1,10000
Golduck,69.4,water,none,125.5,112.2,127,1787063,22.5,Water Gun,Cross Chop,Synchronoise,12,17,3,50000
Kingdra,69.3,water,dragon,121.8,126.1,119,1828072,21,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Feraligatr,69.2,water,none,123.3,118,124,1803586,19.5,Water Gun,Hydro Cannon,Crunch,14,15,3,10000
Golisopod,69.2,bug,water,125.2,133.6,107,1788916,17.5,Fury Cutter,X-Scissor,Aqua Jet,9,12,1,10000
Magnemite,69.1,electric,steel,148.7,113.4,89,1501640,50,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Sudowoodo,69,rock,none,117.2,130.1,125,1905357,26,Counter,Rock Slide,Earthquake,7,10,5,75000
Poliwhirl (Shadow),68.8,water,none,115.1,114.3,148,1947108,50,Mud Shot,Mud Bomb,Scald,5,6,3,50000
Lileep (Shadow),68.7,rock,grass,100.8,138.6,151,2111110,50,Infestation,Grass Knot,Ancient Power,5,4,3,50000
Scizor,68.6,bug,steel,137.9,110.3,106,1612512,18.5,Fury Cutter,Night Slash,X-Scissor,9,9,5,75000
Magneton,68.4,electric,steel,144.7,112.8,95,1550755,22,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Dewott,68,water,none,124.2,98.6,147,1800321,33.5,Fury Cutter,Aqua Tail,X-Scissor,9,9,3,10000
Klang,67.9,steel,none,114.1,137,125,1954283,31.5,Thunder Shock,Thunderbolt,Zap Cannon,7,9,5,75000
Kingdra (Shadow),67.7,water,dragon,121.8,126.1,119,1828072,21,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Wartortle,67.7,water,none,107.9,137.8,139,2067932,48,Water Gun,Hydro Pump,Aqua Jet,25,15,3,10000
Bonsly,67.6,rock,none,116.8,124.4,127,1844799,50,Counter,Rock Slide,Earthquake,7,10,5,10000
Mantyke,67.6,water,flying,100.8,163,120,1972572,50,Bubble,Aerial Ace,Water Pulse,5,6,5,10000
Lapras (Shadow),67.2,water,ice,104.7,114,179,2135530,21.5,Ice Shard,Surf,Skull Bash,4,8,5,75000
Wailord,67.1,water,none,119.6,66.8,235,1876670,25,Water Gun,Surf,Hyper Beam,14,27,1,10000
Huntail,66.5,water,none,131.5,126.3,102,1694679,24,Water Gun,Aqua Tail,Crunch,12,15,3,50000
Rotom (Wash),66.1,electric,water,129.2,143.2,93,1720709,21,Thunder Shock,Thunderbolt,Hydro Pump,7,9,5,75000
Kingler,66,water,none,143.9,115,93,1539736,19.5,Mud Shot,Crabhammer,X-Scissor,6,4,3,50000
Milotic,66,water,none,113.2,132.2,132,1974479,18.5,Dragon Tail,Surf,Hyper Beam,5,9,5,75000
Genesect,65.8,bug,steel,141.1,111.7,100,1575465,16,Fury Cutter,X-Scissor,Magnet Bomb,9,12,20,100000
Sealeo (Shadow),65.8,ice,water,108.6,113.2,167,2053854,36.5,Powder Snow,Body Slam,Water Pulse,5,8,3,50000
