Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Wobbuffet (XL),100,psychic,none,63,101.7,333,2133829,50,Counter,Return,Mirror Coat
Bastiodon (XL),95.7,rock,steel,81.8,244.5,137,2739618,45.5,Smack Down,Stone Edge,Flamethrower
Jellicent,94.2,water,ghost,108.6,125.7,151,2061200,24,Bubble,Bubble Beam,Shadow Ball
Azumarill (XL),93.8,water,fairy,94.4,133.7,188,2372805,42,Bubble,Ice Beam,Hydro Pump
Bastiodon,92.7,rock,steel,85.2,234.5,132,2638165,38.5,Smack Down,Stone Edge,Flamethrower
Scrafty,92.3,dark,fighting,111.7,156,114,1987900,24.5,Counter,Foul Play,Power-Up Punch
Diggersby (XL),92.1,normal,ground,95.7,140.3,174,2337114,47,Mud Shot,Fire Punch,Earthquake
Suicune,91.1,water,none,106.9,141.3,137,2069442,18.5,Snarl,Bubble Beam,Hydro Pump
Altaria,90,dragon,flying,104.1,149.8,137,2136376,28.5,Dragon Breath,Sky Attack,Dragon Pulse
Wigglytuff,89.8,normal,fairy,117.3,75.5,215,1904387,29,Charm,Ice Beam,Play Rough
Mantine,89.4,water,flying,106.9,163.1,120,2092515,27,Bubble,Bubble Beam,Ice Beam
Umbreon,89.1,dark,none,90.6,172.3,157,2451187,26,Snarl,Foul Play,Last Resort
Medicham (XL),88.9,fighting,psychic,107.9,137,141,2085050,48,Counter,Ice Punch,Psychic
Clefable,87.5,fairy,none,117.2,112.8,143,1890364,23,Charm,Meteor Mash,Moonblast
Mandibuzz,87,dark,flying,92.8,148.5,174,2399472,26.5,Snarl,Foul Play,Aerial Ace
Whimsicott,86.8,grass,fairy,119.8,132.4,117,1855723,27.5,Charm,Grass Knot,Moonblast
Lickitung (XL),86.4,normal,none,98.3,124.4,186,2274203,50,Lick,Body Slam,Power Whip
Stunfisk (Galarian),86.4,ground,steel,102.9,126.7,167,2176261,26,Mud Shot,Rock Slide,Earthquake
Whiscash,86.4,water,ground,108.3,107.6,175,2038887,27,Mud Shot,Mud Bomb,Blizzard
Dewgong,86,water,ice,102.7,136.2,154,2154277,28.5,Ice Shard,Icy Wind,Water Pulse
Politoed,86,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake
Skarmory,85.5,steel,flying,106.9,163.1,120,2092515,27,Air Slash,Brave Bird,Sky Attack
Cresselia,84.9,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast
Azumarill,84.7,water,fairy,97.4,128.5,184,2302564,38,Bubble,Ice Beam,Hydro Pump
Diggersby,84.3,normal,ground,98.8,133.6,168,2216614,40,Mud Shot,Fire Punch,Earthquake
Togekiss,84.1,fairy,flying,126.4,125.9,111,1766785,16.5,Charm,Ancient Power,Flamethrower
Deoxys (Defense),83.8,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Psycho Boost,Thunderbolt
Registeel,83.8,steel,none,95.7,190.1,128,2328123,22.5,Lock On,Flash Cannon,Focus Blast
Gardevoir (Shadow),83.2,psychic,fairy,137.2,115.6,102,1617468,18,Charm,Synchronoise,Shadow Ball
Alomomola,81.5,water,none,98.5,98.5,234,2269817,25.5,Waterfall,Psychic,Hydro Pump
Obstagoon,81.5,dark,normal,113.2,124.9,138,1951673,21,Counter,Night Slash,Gunk Shot
Tropius,81.5,grass,flying,102.2,125.9,169,2173466,29,Air Slash,Leaf Blade,Aerial Ace
Castform (Rainy),80.2,water,none,114.2,118.9,144,1955147,39.5,Water Gun,Weather Ball (Water),Thunder
Gloom (Shadow),80.2,grass,poison,122.6,115.6,128,1814886,37.5,Razor Leaf,Sludge Bomb,Petal Blizzard
Grotle (Shadow),80.2,grass,none,118.3,112.5,141,1875443,29.5,Razor Leaf,Body Slam,Energy Ball
Granbull,80,fairy,none,137.2,87.1,137,1637249,22,Charm,Close Combat,Crunch
