Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Swampert (Shadow),100,water,ground,124,106,137,1800668,19,Mud Shot,Hydro Cannon,Sludge Wave
Swampert,99.2,water,ground,124,106,137,1800668,19,Mud Shot,Hydro Cannon,Sludge Wave
Politoed (Shadow),98.6,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake
Drifblim,97,ghost,flying,120.5,73.8,208,1849564,23.5,Hex,Icy Wind,Shadow Ball
Flygon (Shadow),97,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Earth Power
Machamp (Shadow),96,fighting,none,136,95.8,125,1628538,18,Counter,Cross Chop,Rock Slide
Jellicent,95.8,water,ghost,108.6,125.7,151,2061200,24,Bubble,Bubble Beam,Shadow Ball
Medicham (XL),95.4,fighting,psychic,107.9,137,141,2085050,48,Counter,Ice Punch,Psychic
Primeape,95.1,fighting,none,141.8,97.1,115,1584241,23.5,Counter,Night Slash,Close Combat
Zangoose,94.9,normal,none,146.4,87.4,119,1523126,22.5,Shadow Claw,Close Combat,Night Slash
Abomasnow (Shadow),94.6,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Zapdos (Shadow),94.6,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunderbolt
Poliwrath (Shadow),94.4,water,fighting,117.7,120.8,134,1904764,21.5,Mud Shot,Dynamic Punch,Ice Punch
Gliscor (Shadow),94.1,ground,flying,116.1,142.1,116,1914629,20.5,Fury Cutter,Earthquake,Night Slash
Sableye (XL),93.7,dark,ghost,121.2,124.5,122,1841934,48,Shadow Claw,Foul Play,Return
Lucario,93.4,fighting,steel,148.2,93.1,110,1518228,20.5,Counter,Power-Up Punch,Shadow Ball
Talonflame,93.2,fire,flying,123.3,112.4,131,1815258,26,Incinerate,Brave Bird,Flame Charge
Froslass,93.1,ice,ghost,125.4,109.3,131,1795223,27.5,Powder Snow,Avalanche,Shadow Ball
Politoed,93.1,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake
Shiftry (Shadow),92.9,grass,dark,134.2,85.1,145,1655004,24,Snarl,Leaf Blade,Foul Play
Suicune (Shadow),92.9,water,none,106.9,141.3,137,2069442,18.5,Snarl,Bubble Beam,Hydro Pump
Pelipper,92.7,water,flying,124.7,127.4,113,1794220,26,Wing Attack,Weather Ball (Water),Hurricane
Sceptile,92.5,grass,none,138.5,108.3,108,1619458,20.5,Bullet Seed,Leaf Blade,Earthquake
Scrafty,92.5,dark,fighting,111.7,156,114,1987900,24.5,Counter,Foul Play,Power-Up Punch
Mew,92.3,psychic,none,120.5,120.5,127,1843005,16.5,Shadow Claw,Wild Charge,Surf
Diggersby (XL),92.1,normal,ground,95.7,140.3,174,2337114,47,Mud Shot,Fire Punch,Earthquake
Flygon,92.1,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Earth Power
Gliscor,91.8,ground,flying,116.1,142.1,116,1914629,20.5,Fury Cutter,Earthquake,Night Slash
Stunfisk (Galarian),91.8,ground,steel,102.9,126.7,167,2176261,26,Mud Shot,Rock Slide,Earthquake
Castform (Rainy),91.7,water,none,114.2,118.9,144,1955147,39.5,Water Gun,Weather Ball (Water),Thunder
Pinsir (Shadow),91.7,bug,none,141.9,113.2,98,1574251,18.5,Fury Cutter,Close Combat,X-Scissor
Whiscash,91.7,water,ground,108.3,107.6,175,2038887,27,Mud Shot,Mud Bomb,Blizzard
Gengar,91.5,ghost,poison,156.6,95.5,95,1420960,19,Shadow Claw,Shadow Ball,Shadow Punch
Haunter,91.5,ghost,poison,163.3,87,96,1364117,28.5,Shadow Claw,Shadow Punch,Shadow Ball
Machamp,91.5,fighting,none,136,95.8,125,1628538,18,Counter,Cross Chop,Rock Slide
Honchkrow,91.3,dark,flying,149.4,69.3,143,1480009,20,Snarl,Brave Bird,Sky Attack
Abomasnow,91.2,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Venusaur (Shadow),91.2,grass,poison,123.4,122.8,119,1802730,20.5,Vine Whip,Frenzy Plant,Sludge Bomb
Charizard (Shadow),91,fire,flying,135.1,106.8,115,1658635,19.5,Fire Spin,Blast Burn,Dragon Claw
Zapdos,91,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunder
Electivire (Shadow),90.8,electric,none,144,98,109,1538496,18,Thunder Shock,Ice Punch,Wild Charge
Meganium,90.8,grass,none,112.1,135.2,131,1985352,23,Vine Whip,Frenzy Plant,Earthquake
Raikou (Shadow),90.8,electric,none,132,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball
Charizard,90.7,fire,flying,135.1,106.8,115,1658635,19.5,Fire Spin,Blast Burn,Dragon Claw
Shiftry,90.7,grass,dark,134.2,85.1,145,1655004,24,Snarl,Leaf Blade,Foul Play
Cherrim (Sunshine),90.6,grass,none,122.9,115.9,127,1808807,27,Bullet Seed,Weather Ball (Fire),Solar Beam
Sableye,90.4,dark,ghost,123.3,119.3,120,1765496,40,Shadow Claw,Foul Play,Return
Zweilous,90.4,dark,dragon,122.5,109.2,137,1832026,31,Dragon Breath,Body Slam,Dark Pulse
Medicham,90.3,fighting,psychic,107.5,132,134,1900834,40,Counter,Ice Punch,Psychic
Venusaur,90.3,grass,poison,123.4,122.8,119,1802730,20.5,Vine Whip,Frenzy Plant,Sludge Bomb
