Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Electivire (Shadow),100,electric,none,144,98,109,1538496,18,Thunder Shock,Ice Punch,Wild Charge
Azumarill (XL),99.3,water,fairy,94.4,133.7,188,2372805,42,Bubble,Ice Beam,Hydro Pump
Raikou (Shadow),99.1,electric,none,132,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball
Azumarill,98.8,water,fairy,97.4,128.5,184,2302564,38,Bubble,Ice Beam,Hydro Pump
Registeel,97.3,steel,none,95.7,190.1,128,2328123,22.5,Lock On,Flash Cannon,Focus Blast
Deoxys (Defense),97.1,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Psycho Boost,Thunderbolt
Hitmontop,97.1,fighting,none,123.3,147.8,100,1822396,26,Counter,Close Combat,Stone Edge
Medicham (XL),96.8,fighting,psychic,107.9,137,141,2085050,48,Counter,Ice Punch,Psychic
Lanturn,96.6,water,electric,104.8,104.8,192,2109375,27,Spark,Thunderbolt,Hydro Pump
Altaria,96.5,dragon,flying,104.1,149.8,137,2136376,28.5,Dragon Breath,Sky Attack,Dragon Pulse
Skarmory,96.1,steel,flying,106.9,163.1,120,2092515,27,Air Slash,Brave Bird,Sky Attack
Regice,96,ice,none,105.4,180.2,112,2127885,18,Lock On,Blizzard,Earthquake
Stunfisk (Galarian),96,ground,steel,102.9,126.7,167,2176261,26,Mud Shot,Rock Slide,Earthquake
Sableye (XL),95.2,dark,ghost,121.2,124.5,122,1841934,48,Shadow Claw,Foul Play,Return
Bastiodon (XL),94.3,rock,steel,81.8,244.5,137,2739618,45.5,Smack Down,Stone Edge,Flamethrower
Regirock,94.3,rock,none,105.4,180.2,112,2127885,18,Lock On,Stone Edge,Focus Blast
Magnezone (Shadow),94.2,electric,steel,136.6,121.2,99,1638649,17,Spark,Wild Charge,Mirror Shot
Chesnaught,94,grass,fighting,118.9,124.7,125,1853637,18.5,Vine Whip,Superpower,Energy Ball
Skarmory (Shadow),94,steel,flying,106.9,163.1,120,2092515,27,Air Slash,Brave Bird,Sky Attack
Froslass,93.2,ice,ghost,125.4,109.3,131,1795223,27.5,Powder Snow,Avalanche,Shadow Ball
Machamp (Shadow),93,fighting,none,136,95.8,125,1628538,18,Counter,Cross Chop,Rock Slide
Raikou,93,electric,none,132,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball
Alomomola,92.2,water,none,98.5,98.5,234,2269817,25.5,Waterfall,Psychic,Hydro Pump
Diggersby (XL),92.2,normal,ground,95.7,140.3,174,2337114,47,Mud Shot,Fire Punch,Earthquake
Umbreon,92.2,dark,none,90.6,172.3,157,2451187,26,Snarl,Foul Play,Last Resort
Venusaur (Shadow),92.2,grass,poison,123.4,122.8,119,1802730,20.5,Vine Whip,Frenzy Plant,Sludge Bomb
Cresselia,91.9,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast
Sableye,91.9,dark,ghost,123.3,119.3,120,1765496,40,Shadow Claw,Foul Play,Return
Swampert (Shadow),91.4,water,ground,124,106,137,1800668,19,Mud Shot,Hydro Cannon,Sludge Wave
Scrafty,91.2,dark,fighting,111.7,156,114,1987900,24.5,Counter,Foul Play,Power-Up Punch
Zapdos (Shadow),91,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunderbolt
Quagsire,90.9,water,ground,111.7,111.7,159,1983389,28,Mud Shot,Earthquake,Stone Edge
Diggersby,90.7,normal,ground,98.8,133.6,168,2216614,40,Mud Shot,Fire Punch,Earthquake
Medicham,90.7,fighting,psychic,107.5,132,134,1900834,40,Counter,Ice Punch,Psychic
Abomasnow (Shadow),90.5,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
