Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Diggersby,95.8,normal,ground,96.3,141.2,171,2324733,48,Mud Shot,Fire Punch,Earthquake,5,8,1,10000
Registeel,95.4,steel,none,95.5,189.6,130,2353244,23,Lock On,Focus Blast,Flash Cannon,15,14,20,100000
Mandibuzz,94,dark,flying,92.3,149.2,176,2424943,27,Snarl,Foul Play,Aerial Ace,4,4,5,75000
Lickitung,92.8,normal,none,98.3,126.9,183,2282878,50,Lick,Body Slam,Power Whip,12,17,3,50000
Cresselia,92.5,psychic,none,93.2,158.3,163,2404853,20,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Nidoqueen (Shadow),92.5,poison,ground,117.8,116.5,139,1908186,22,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Nidoqueen,92.4,poison,ground,117.8,116.5,139,1908186,22,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Regirock,92.4,rock,none,103.7,180.2,115,2149641,18,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Whiscash,92.2,water,ground,107.6,107.6,178,2060545,27,Mud Shot,Mud Bomb,Blizzard,5,9,1,10000
Wobbuffet,92.2,psychic,none,63,101.7,333,2133829,50,Counter,Return,Mirror Coat,10,8,3,50000
Chansey,92,normal,none,63,120.2,421,3188219,50,Pound,Psychic,Hyper Beam,14,20,5,75000
Machamp (Shadow),91.8,fighting,none,136.4,97.2,124,1644073,17.5,Counter,Cross Chop,Rock Slide,5,7,3,50000
Zweilous,91.6,dark,dragon,121,109.2,140,1849588,31,Dragon Breath,Body Slam,Dark Pulse,12,17,5,75000
Jellicent,91.3,water,ghost,106.7,124.3,157,2082451,24,Hex,Bubble Beam,Shadow Ball,4,5,3,50000
Steelix,91.2,steel,ground,98.4,185.2,124,2260578,23.5,Dragon Tail,Earthquake,Crunch,8,5,5,75000
Castform (Snowy),90.8,ice,none,113.4,119.6,146,1979669,38.5,Powder Snow,Weather Ball (Ice),Blizzard,5,10,5,75000
Pachirisu,90.6,electric,none,91.6,157.1,142,2043738,50,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Abomasnow,90.2,grass,ice,117.9,111.4,143,1877258,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Sableye,90.2,dark,ghost,121,123.5,124,1853355,45.5,Shadow Claw,Foul Play,Return,6,9,5,75000
Machamp,89.9,fighting,none,136.4,97.2,124,1644073,17.5,Counter,Cross Chop,Rock Slide,5,7,3,50000
Wigglytuff,89.4,normal,fairy,115.8,75.5,220,1924765,29,Charm,Ice Beam,Play Rough,10,10,1,10000
Abomasnow (Shadow),89.3,grass,ice,117.9,111.4,143,1877258,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Beedrill (Shadow),89.3,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Zapdos (Shadow),89.3,electric,flying,136.2,104.7,115,1639560,15.5,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
