Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Medicham (XL),95.8,fighting,psychic,107.9,137,141,2085050,48,Counter,Power-Up Punch,Psychic
Bastiodon (XL),94.5,rock,steel,81.8,244.5,137,2739618,45.5,Smack Down,Stone Edge,Flamethrower
Registeel,93.8,steel,none,95.7,190.1,128,2328123,22.5,Lock On,Flash Cannon,Focus Blast
Altaria,93.1,dragon,flying,104.1,149.8,137,2136376,28.5,Dragon Breath,Sky Attack,Dragon Pulse
Cresselia,93.1,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast
Bastiodon,92.6,rock,steel,85.2,234.5,132,2638165,38.5,Smack Down,Stone Edge,Flamethrower
Wobbuffet (XL),92.5,psychic,none,63,101.7,333,2133829,50,Counter,Return,Mirror Coat
Deoxys (Defense),92.3,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Rock Slide,Thunderbolt
Machamp (Shadow),92,fighting,none,136,95.8,125,1628538,18,Counter,Cross Chop,Rock Slide
Vigoroth,91.8,normal,none,115.9,113.1,144,1888091,28,Counter,Body Slam,Bulldoze
Sableye (XL),91.5,dark,ghost,121.2,124.5,122,1841934,48,Shadow Claw,Foul Play,Return
Scrafty,91.3,dark,fighting,111.7,156,114,1987900,24.5,Counter,Foul Play,Power-Up Punch
Medicham,91.1,fighting,psychic,107.5,132,134,1900834,40,Counter,Power-Up Punch,Psychic
Jellicent,90.9,water,ghost,108.6,125.7,151,2061200,24,Hex,Bubble Beam,Shadow Ball
Lickitung (XL),90.7,normal,none,98.3,124.4,186,2274203,50,Lick,Body Slam,Power Whip
Politoed (Shadow),90.7,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake
Machamp,90.6,fighting,none,136,95.8,125,1628538,18,Counter,Cross Chop,Rock Slide
Ninetales (Alolan),90.5,ice,fairy,115.9,134.7,123,1920479,23.5,Powder Snow,Weather Ball (Ice),Dazzling Gleam
Regirock,90.5,rock,none,105.4,180.2,112,2127885,18,Lock On,Stone Edge,Focus Blast
Whiscash,90.4,water,ground,108.3,107.6,175,2038887,27,Mud Shot,Mud Bomb,Blizzard
Sableye,90.2,dark,ghost,123.3,119.3,120,1765496,40,Shadow Claw,Foul Play,Return
Mandibuzz,90.1,dark,flying,92.8,148.5,174,2399472,26.5,Snarl,Foul Play,Aerial Ace
Diggersby (XL),90,normal,ground,95.7,140.3,174,2337114,47,Mud Shot,Fire Punch,Earthquake
Hitmontop,89.9,fighting,none,123.3,147.8,100,1822396,26,Counter,Close Combat,Stone Edge
Castform (Rainy XL),89.6,water,none,110.9,122.1,149,2016902,41.5,Water Gun,Weather Ball (Water),Thunder
Politoed,89.2,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake
Gardevoir (Shadow),89,psychic,fairy,137.2,115.6,102,1617468,18,Charm,Synchronoise,Shadow Ball
Zweilous,89,dark,dragon,122.5,109.2,137,1832026,31,Dragon Breath,Body Slam,Dark Pulse
Primeape,88.9,fighting,none,141.8,97.1,115,1584241,23.5,Counter,Night Slash,Close Combat
Escavalier,88.8,bug,steel,135.1,118,104,1657440,19.5,Counter,Drill Run,Megahorn
Froslass,88.6,ice,ghost,125.4,109.3,131,1795223,27.5,Powder Snow,Avalanche,Shadow Ball
Toxicroak,88.6,poison,fighting,136.6,92.1,129,1622926,22,Counter,Mud Bomb,Sludge Bomb
Wigglytuff,88.6,normal,fairy,117.3,75.5,215,1904387,29,Charm,Ice Beam,Play Rough
Mew,88.5,psychic,none,120.5,120.5,127,1843005,16.5,Shadow Claw,Wild Charge,Surf
Diggersby,88.3,normal,ground,98.8,133.6,168,2216614,40,Mud Shot,Fire Punch,Earthquake
Tropius,88.3,grass,flying,102.2,125.9,169,2173466,29,Air Slash,Leaf Blade,Aerial Ace
Melmetal,88.2,steel,none,122.1,105.5,142,1830093,15,Thunder Shock,Superpower,Rock Slide
Lucario,88.1,fighting,steel,148.2,93.1,110,1518228,20.5,Counter,Power-Up Punch,Shadow Ball
Castform (Snowy XL),88,ice,none,110.9,122.1,149,2016902,41.5,Powder Snow,Weather Ball (Ice),Ice Beam
Abomasnow,87.8,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Abomasnow (Shadow),87.7,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Drifblim,87.7,ghost,flying,120.5,73.8,208,1849564,23.5,Hex,Icy Wind,Shadow Ball
Perrserker,87.5,steel,none,130.8,110.1,119,1713702,23.5,Shadow Claw,Close Combat,Foul Play
Zapdos (Shadow),87.4,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunderbolt
Castform (Sunny XL),87.3,fire,none,110.9,122.1,149,2016902,41.5,Ember,Weather Ball (Fire),Solar Beam
Meganium,87.2,grass,none,112.1,135.2,131,1985352,23,Vine Whip,Frenzy Plant,Earthquake
Pelipper,87.1,water,flying,124.7,127.4,113,1794220,26,Wing Attack,Weather Ball (Water),Hurricane
Snorlax,87.1,normal,none,107.4,100.2,190,2045672,17,Lick,Body Slam,Superpower
Dragonite (Shadow),87,dragon,flying,137.3,105.3,112,1619864,14.5,Dragon Breath,Dragon Claw,Hurricane
Forretress,87,bug,steel,110.4,142.2,128,2009351,24.5,Bug Bite,Earthquake,Mirror Shot
Magnezone (Shadow),87,electric,steel,136.6,121.2,99,1638649,17,Spark,Wild Charge,Mirror Shot
Sableye (Shadow XL),87,dark,ghost,121.2,124.5,122,1841934,48,Shadow Claw,Foul Play,Shadow Sneak
Machoke (Shadow),86.8,fighting,none,128.9,98.1,137,1731952,27.5,Karate Chop,Cross Chop,Dynamic Punch
Castform (Rainy),86.7,water,none,114.2,118.9,144,1955147,39.5,Water Gun,Weather Ball (Water),Thunder
Clefable,86.7,fairy,none,117.2,112.8,143,1890364,23,Charm,Meteor Mash,Moonblast
Hariyama,86.7,fighting,none,126.8,74.9,184,1748232,19.5,Counter,Close Combat,Heavy Slam
Sirfetch'd,86.7,fighting,none,145.9,108.6,96,1521428,18.5,Counter,Leaf Blade,Night Slash
Chansey (XL),86.6,normal,none,63,120.2,421,3188219,50,Pound,Psychic,Hyper Beam
Castform (Snowy),86.5,ice,none,114.2,118.9,144,1955147,39.5,Powder Snow,Weather Ball (Ice),Blizzard
Chesnaught,86.5,grass,fighting,118.9,124.7,125,1853637,18.5,Vine Whip,Superpower,Energy Ball
Magnezone,86.5,electric,steel,136.6,121.2,99,1638649,17,Spark,Wild Charge,Mirror Shot
Lanturn,86.3,water,electric,104.8,104.8,192,2109375,27,Spark,Thunderbolt,Hydro Pump
Mantine,86.3,water,flying,106.9,163.1,120,2092515,27,Bubble,Bubble Beam,Ice Beam
Beedrill (Shadow),86.2,bug,poison,128.6,103.6,130,1731686,30.5,Poison Jab,X-Scissor,Drill Run
Hitmonchan (Shadow),85.9,fighting,none,130.2,135.3,97,1708843,23.5,Counter,Ice Punch,Thunder Punch
Forretress (Shadow),85.8,bug,steel,110.4,142.2,128,2009351,24.5,Bug Bite,Earthquake,Mirror Shot
Togekiss,85.8,fairy,flying,126.4,125.9,111,1766785,16.5,Charm,Ancient Power,Flamethrower
Ninetales (Shadow),85.7,fire,none,116.2,130.9,126,1917092,25,Fire Spin,Weather Ball (Fire),Psyshock
Zapdos,85.7,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunder
Heracross,85.6,bug,fighting,135.2,108.4,112,1642084,17.5,Counter,Close Combat,Megahorn
Snorlax (Shadow),85.6,normal,none,107.4,100.2,190,2045672,17,Lick,Body Slam,Superpower
Sableye (Shadow),85.5,dark,ghost,123.3,119.3,120,1765496,40,Shadow Claw,Foul Play,Shadow Sneak
Castform (Sunny),85.4,fire,none,114.2,118.9,144,1955147,39.5,Ember,Weather Ball (Fire),Solar Beam
Flygon (Shadow),85.4,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Earth Power
Machoke,85.4,fighting,none,128.9,98.1,137,1731952,27.5,Karate Chop,Cross Chop,Dynamic Punch
Quagsire,85.4,water,ground,111.7,111.7,159,1983389,28,Mud Shot,Earthquake,Stone Edge
Whimsicott,85.4,grass,fairy,119.8,132.4,117,1855723,27.5,Charm,Grass Knot,Moonblast
Raikou (Shadow),85.3,electric,none,132,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball
Dragonair (Shadow),85.2,dragon,none,126,111.7,125,1758941,33,Dragon Breath,Aqua Tail,Dragon Pulse
Poliwrath (Shadow),85.2,water,fighting,117.7,120.8,134,1904764,21.5,Mud Shot,Dynamic Punch,Ice Punch
Golbat (Shadow),84.9,poison,flying,119.5,115.2,136,1872017,28,Wing Attack,Poison Fang,Shadow Ball
Blaziken,84.7,fire,fighting,145,89.7,118,1534137,19,Counter,Blaze Kick,Stone Edge
Muk (Alolan),84.7,poison,dark,118.3,111.7,143,1889615,20,Snarl,Dark Pulse,Sludge Wave
Dragonair,84.6,dragon,none,126,111.7,125,1758941,33,Dragon Breath,Aqua Tail,Wrap
Flygon,84.6,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Earth Power
Empoleon,84.5,water,steel,125.8,114.7,122,1760119,19,Waterfall,Hydro Cannon,Drill Peck
Granbull,84.5,fairy,none,137.2,87.1,137,1637249,22,Charm,Close Combat,Crunch
Hypno,84.5,psychic,none,104.8,143.7,142,2138624,27,Confusion,Fire Punch,Shadow Ball
Regice,84.5,ice,none,105.4,180.2,112,2127885,18,Lock On,Blizzard,Earthquake
Dewgong,84.4,water,ice,102.7,136.2,154,2154277,28.5,Ice Shard,Icy Wind,Water Pulse
Marshtomp (Shadow),84.4,water,ground,122.2,108,139,1834048,33,Mud Shot,Surf,Mud Bomb
Munchlax,84.4,normal,none,104.6,93.7,218,2136331,30,Lick,Body Slam,Bulldoze
Gliscor,84.3,ground,flying,116.1,142.1,116,1914629,20.5,Wing Attack,Earthquake,Night Slash
Gyarados (Shadow),84.3,water,flying,132,105.3,122,1695047,16,Dragon Breath,Aqua Tail,Crunch
Gardevoir,84,psychic,fairy,137.2,115.6,102,1617468,18,Charm,Synchronoise,Shadow Ball
Hitmonchan,84,fighting,none,130.2,135.3,97,1708843,23.5,Counter,Ice Punch,Thunder Punch
Beedrill,83.9,bug,poison,128.6,103.6,130,1731686,30.5,Poison Jab,X-Scissor,Drill Run
Blastoise,83.9,water,none,112.8,137.8,127,1974395,22,Water Gun,Hydro Cannon,Ice Beam
Electivire (Shadow),83.9,electric,none,144,98,109,1538496,18,Thunder Shock,Ice Punch,Wild Charge
Sandslash (Alolan),83.9,ice,steel,117.9,132,122,1897975,23,Powder Snow,Ice Punch,Bulldoze
Steelix,83.9,steel,ground,100.1,181.9,123,2239452,22.5,Dragon Tail,Earthquake,Crunch
Blastoise (Shadow),83.8,water,none,112.8,137.8,127,1974395,22,Water Gun,Hydro Cannon,Ice Beam
Charizard,83.8,fire,flying,135.1,106.8,115,1658635,19.5,Fire Spin,Blast Burn,Dragon Claw
Marshtomp,83.8,water,ground,122.2,108,139,1834048,33,Mud Shot,Surf,Mud Bomb
