Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Sableye (XL),100,dark,ghost,121.2,124.5,122,1841934,48,Shadow Claw,Foul Play,Return
Mew,98.3,psychic,none,120.5,120.5,127,1843005,16.5,Shadow Claw,Wild Charge,Surf
Medicham (XL),97.3,fighting,psychic,107.9,137,141,2085050,48,Counter,Ice Punch,Psychic
Stunfisk (Galarian),97.2,ground,steel,102.9,126.7,167,2176261,26,Mud Shot,Rock Slide,Earthquake
Galvantula,94.2,bug,electric,138.3,94.8,122,1599873,25,Volt Switch,Discharge,Lunge
Politoed (Shadow),93.2,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake
Vigoroth,93.2,normal,none,115.9,113.1,144,1888091,28,Counter,Body Slam,Bulldoze
Pelipper,92.9,water,flying,124.7,127.4,113,1794220,26,Wing Attack,Weather Ball (Water),Hurricane
Zangoose,92.7,normal,none,146.4,87.4,119,1523126,22.5,Shadow Claw,Close Combat,Night Slash
Cresselia,92.5,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast
Sableye,92.1,dark,ghost,123.3,119.3,120,1765496,40,Shadow Claw,Foul Play,Return
Snorlax (Shadow),91.2,normal,none,107.4,100.2,190,2045672,17,Lick,Body Slam,Superpower
Lickitung (XL),90.8,normal,none,98.3,124.4,186,2274203,50,Lick,Body Slam,Power Whip
Deoxys (Defense),90.2,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Psycho Boost,Thunderbolt
Politoed,89.9,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Earthquake
Lapras (Shadow),89.3,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash
Suicune (Shadow),89.3,water,none,106.9,141.3,137,2069442,18.5,Snarl,Bubble Beam,Hydro Pump
Machamp (Shadow),89.1,fighting,none,136,95.8,125,1628538,18,Counter,Cross Chop,Rock Slide
Diggersby (XL),88.7,normal,ground,95.7,140.3,174,2337114,47,Mud Shot,Fire Punch,Earthquake
Snorlax,88.7,normal,none,107.4,100.2,190,2045672,17,Lick,Body Slam,Superpower
Swampert,88.5,water,ground,124,106,137,1800668,19,Mud Shot,Hydro Cannon,Sludge Wave
Primeape,88.4,fighting,none,141.8,97.1,115,1584241,23.5,Counter,Night Slash,Close Combat
Sealeo (Shadow),88.4,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam
Froslass,87.6,ice,ghost,125.4,109.3,131,1795223,27.5,Powder Snow,Avalanche,Shadow Ball
Machamp,87.6,fighting,none,136,95.8,125,1628538,18,Counter,Cross Chop,Rock Slide
Lapras,87.3,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash
Mandibuzz,87.3,dark,flying,92.8,148.5,174,2399472,26.5,Snarl,Foul Play,Aerial Ace
Ninetales (Shadow),87.3,fire,none,116.2,130.9,126,1917092,25,Fire Spin,Weather Ball (Fire),Psyshock
Ninetales (Alolan),87.1,ice,fairy,115.9,134.7,123,1920479,23.5,Powder Snow,Weather Ball (Ice),Psyshock
Sableye (Shadow),87.1,dark,ghost,123.3,119.3,120,1765496,40,Shadow Claw,Foul Play,Shadow Sneak
Whiscash,87.1,water,ground,108.3,107.6,175,2038887,27,Mud Shot,Mud Bomb,Blizzard
Meganium,86.8,grass,none,112.1,135.2,131,1985352,23,Vine Whip,Frenzy Plant,Earthquake
Swampert (Shadow),86.7,water,ground,124,106,137,1800668,19,Mud Shot,Hydro Cannon,Sludge Wave
Umbreon,86.7,dark,none,90.6,172.3,157,2451187,26,Snarl,Foul Play,Last Resort
Suicune,86.5,water,none,106.9,141.3,137,2069442,18.5,Snarl,Bubble Beam,Hydro Pump
Diggersby,86.4,normal,ground,98.8,133.6,168,2216614,40,Mud Shot,Fire Punch,Earthquake
Scrafty,86.4,dark,fighting,111.7,156,114,1987900,24.5,Counter,Foul Play,Power-Up Punch
Sirfetchd,85.9,fighting,none,145.9,108.6,96,1521428,18.5,Counter,Leaf Blade,Night Slash
Castform (Rainy),85.8,water,none,114.2,118.9,144,1955147,39.5,Water Gun,Weather Ball (Water),Thunder
Gliscor,85.8,ground,flying,116.1,142.1,116,1914629,20.5,Fury Cutter,Earthquake,Night Slash
Regirock,85.1,rock,none,105.4,180.2,112,2127885,18,Lock On,Stone Edge,Focus Blast
Abomasnow,85,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Melmetal,85,steel,none,122.1,105.5,142,1830093,15,Thunder Shock,Superpower,Rock Slide
Abomasnow (Shadow),84.8,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Gardevoir (Shadow),84.8,psychic,fairy,137.2,115.6,102,1617468,18,Charm,Synchronoise,Shadow Ball
Golbat (Shadow),84.2,poison,flying,119.5,115.2,136,1872017,28,Wing Attack,Poison Fang,Shadow Ball
Dewgong,84.1,water,ice,102.7,136.2,154,2154277,28.5,Ice Shard,Icy Wind,Water Pulse
Sealeo,84.1,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam
Mantine,83.4,water,flying,106.9,163.1,120,2092515,27,Bubble,Bubble Beam,Ice Beam
Poliwrath (Shadow),83,water,fighting,117.7,120.8,134,1904764,21.5,Mud Shot,Dynamic Punch,Ice Punch
Flygon (Shadow),82.8,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Earth Power
Gallade,82.7,psychic,fighting,137.2,115.6,102,1617468,18,Confusion,Close Combat,Leaf Blade
Lickilicky,82.5,normal,none,106.5,122.8,160,2092956,22,Lick,Body Slam,Shadow Ball
Zweilous,82.5,dark,dragon,122.5,109.2,137,1832026,31,Dragon Breath,Body Slam,Dark Pulse
Zapdos (Shadow),82.4,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunderbolt
Beedrill (Shadow),81.9,bug,poison,128.6,103.6,130,1731686,30.5,Poison Jab,X-Scissor,Drill Run
Gyarados (Shadow),81.9,water,flying,132,105.3,122,1695047,16,Dragon Breath,Aqua Tail,Crunch
Hitmonchan,81.7,fighting,none,130.2,135.3,97,1708843,23.5,Counter,Ice Punch,Thunder Punch
Munchlax,81.7,normal,none,104.6,93.7,218,2136331,30,Lick,Body Slam,Bulldoze
Wobbuffet (XL),81.7,psychic,none,63,101.7,333,2133829,50,Counter,Return,Mirror Coat
Drifblim,81.4,ghost,flying,120.5,73.8,208,1849564,23.5,Hex,Icy Wind,Shadow Ball
Flygon,81.4,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Earth Power
Tropius,81.4,grass,flying,102.2,125.9,169,2173466,29,Air Slash,Leaf Blade,Aerial Ace
Castform (Snowy),81.1,ice,none,114.2,118.9,144,1955147,39.5,Powder Snow,Weather Ball (Ice),Blizzard
