Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Lucario,92.4,fighting,steel,145.8,95.6,110,1532231,20.5,Counter,Power-Up Punch,Shadow Ball,5,8,5,75000
Pachirisu,92.2,electric,none,91.6,157.1,142,2043738,50,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Bastiodon,92,rock,steel,81.1,246.7,138,2761698,47.5,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Sneasler,91.8,fighting,poison,146,95.3,110,1529893,17,Shadow Claw,Close Combat,X-Scissor,6,5,3,50000
Abomasnow,90,grass,ice,117.9,111.4,143,1877258,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Drapion (Shadow),89.2,poison,dark,118.5,136.5,117,1892269,23,Poison Sting,Aqua Tail,Crunch,4,5,5,75000
Abomasnow (Shadow),87.9,grass,ice,117.9,111.4,143,1877258,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Cresselia,87.1,psychic,none,93.2,158.3,163,2404853,20,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Electrode (Hisuian),87,electric,grass,123.3,130.1,113,1812571,26,Thunder Shock,Wild Charge,Energy Ball,5,7,3,50000
Munchlax,87,normal,none,104,95.2,218,2158275,31,Lick,Body Slam,Bulldoze,12,20,5,10000
Lickilicky,86.8,normal,none,106.3,121.1,164,2111832,23,Lick,Body Slam,Earthquake,12,22,3,50000
Luxray (Shadow),86.8,electric,none,138,99,118,1611912,19,Spark,Psychic Fangs,Wild Charge,5,6,5,75000
Gastrodon,86.2,water,ground,114.4,102.5,167,1957876,24.5,Mud Slap,Body Slam,Earth Power,5,7,3,50000
Froslass,86.1,ice,ghost,122.6,115.6,128,1813850,27.5,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Magnezone (Shadow),84.9,electric,steel,134.9,120.1,102,1652719,17,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Electivire (Shadow),84.3,electric,none,144,98,110,1552610,18,Thunder Shock,Wild Charge,Ice Punch,5,5,5,75000
Wormadam (Trash),84.3,bug,steel,105.2,150.9,134,2126928,42.5,Confusion,Bug Buzz,Iron Head,5,5,1,10000
Toxicroak,84.2,poison,fighting,136.6,91.5,131,1636876,22,Counter,Mud Bomb,Sludge Bomb,6,8,3,50000
Magnezone,84,electric,steel,134.9,120.1,102,1652719,17,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Luxray,83.9,electric,none,138,99,118,1611912,19,Spark,Psychic Fangs,Wild Charge,5,6,5,75000
Electivire,83.6,electric,none,144,98,110,1552610,18,Thunder Shock,Wild Charge,Ice Punch,5,5,5,75000
Togekiss,83.1,fairy,flying,124.8,125.3,114,1783452,16.5,Charm,Aerial Ace,Flamethrower,8,10,3,50000
Drapion,82.9,poison,dark,118.5,136.5,117,1892269,23,Poison Sting,Aqua Tail,Crunch,4,5,5,75000
Qwilfish (Hisuian),82.9,dark,poison,129.5,111.3,120,1729959,25.5,Poison Jab,Aqua Tail,Shadow Ball,5,8,3,50000
Gallade (Shadow),82.4,psychic,fighting,137.2,114.5,104,1633015,18,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Overqwil,82,dark,poison,131.6,106.6,121,1696708,19,Poison Jab,Aqua Tail,Shadow Ball,5,8,3,50000
Empoleon,81.9,water,steel,125.8,115.9,122,1777988,19,Waterfall,Hydro Cannon,Drill Peck,5,5,3,10000
Gliscor,81.5,ground,flying,115.7,143.9,116,1930695,21,Wing Attack,Night Slash,Earthquake,5,10,5,75000
Sneasel (Hisuian),81.3,fighting,poison,135.5,110.7,110,1649923,26.5,Poison Jab,Close Combat,X-Scissor,7,5,3,50000
Gallade,81.2,psychic,fighting,137.2,114.5,104,1633015,18,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Hippowdon,81,ground,none,116.2,116.8,141,1912627,18,Fire Fang,Weather Ball (Rock),Earth Power,7,11,3,50000
Bronzong,80.8,steel,psychic,111.3,151.8,119,2010401,25.5,Confusion,Psyshock,Bulldoze,4,5,3,50000
Drifblim,80.7,ghost,flying,119.8,75,208,1867826,23,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Honchkrow,80.6,dark,flying,150.6,68.3,145,1492462,20.5,Snarl,Brave Bird,Sky Attack,5,4,3,50000
Gliscor (Shadow),80.3,ground,flying,115.7,143.9,116,1930695,21,Wing Attack,Night Slash,Earthquake,5,10,5,75000
Skuntank,80.3,poison,dark,121.7,95.2,157,1819546,23.5,Poison Jab,Crunch,Flamethrower,7,8,3,50000
Roserade,80.2,grass,poison,143.1,114.9,95,1561844,18.5,Bullet Seed,Weather Ball (Fire),Leaf Storm,3,5,3,50000
Honchkrow (Shadow),80.1,dark,flying,150.6,68.3,145,1492462,20.5,Snarl,Brave Bird,Sky Attack,5,4,3,50000
Hippowdon (Shadow),79.3,ground,none,116.2,116.8,141,1912627,18,Fire Fang,Weather Ball (Rock),Body Slam,7,7,3,50000
Grotle (Shadow),79.1,grass,none,118.3,116.1,138,1895093,30.5,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Magmortar (Shadow),79.1,fire,none,141.4,103.4,108,1578615,17.5,Karate Chop,Fire Punch,Brick Break,5,5,5,75000
Tangrowth,78.9,grass,none,121.8,112,135,1842421,18.5,Vine Whip,Rock Slide,Power Whip,6,7,3,50000
Skuntank (Shadow),78.6,poison,dark,121.7,95.2,157,1819546,23.5,Poison Jab,Crunch,Flamethrower,7,8,3,50000
Probopass,78.5,rock,steel,96.8,200,119,2305422,28,Spark,Rock Slide,Thunderbolt,6,7,3,50000
Probopass (Shadow),78.1,rock,steel,97.4,197.6,119,2289182,27.5,Spark,Rock Slide,Thunderbolt,6,7,3,50000
Cherrim (Sunshine),77.7,grass,none,122.9,115.2,129,1826290,27,Bullet Seed,Weather Ball (Fire),Solar Beam,3,7,1,10000
Uxie,77.6,psychic,none,102,176.8,122,2200329,22.5,Confusion,Future Sight,Thunder,6,5,20,100000
Torterra (Shadow),77.5,grass,ground,120.5,117.6,131,1857185,19,Razor Leaf,Frenzy Plant,Sand Tomb,12,10,3,10000
Leafeon,76.6,grass,none,128.1,133.3,102,1742118,18.5,Bullet Seed,Leaf Blade,Last Resort,3,5,5,75000
Bonsly,76.3,rock,none,116.8,124.4,127,1844799,50,Counter,Rock Slide,Earthquake,7,10,5,10000
Bibarel,76,normal,water,124.2,97.7,149,1807978,30.5,Water Gun,Surf,Hyper Fang,14,17,1,10000
Grotle,75.8,grass,none,118.3,116.1,138,1895093,30.5,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Torterra,75.7,grass,ground,120.5,117.6,131,1857185,19,Razor Leaf,Frenzy Plant,Sand Tomb,12,10,3,10000
Magmortar,75.6,fire,none,141.4,103.4,108,1578615,17.5,Karate Chop,Fire Punch,Brick Break,5,5,5,75000
Mamoswine,75.6,ice,ground,136.2,87.4,137,1630185,16.5,Powder Snow,Avalanche,Bulldoze,6,8,3,50000
Bibarel (Shadow),75.3,normal,water,124.2,97.7,149,1807978,30.5,Water Gun,Surf,Hyper Fang,14,17,1,10000
Monferno,75.3,fire,fighting,129.6,95.4,139,1719672,41,Ember,Flamethrower,Low Sweep,10,7,3,10000
Garchomp,75,dragon,ground,132.5,102.5,124,1683122,14,Dragon Tail,Sand Tomb,Outrage,5,7,5,75000
Mamoswine (Shadow),74.7,ice,ground,136.2,87.4,137,1630185,16.5,Powder Snow,Avalanche,Bulldoze,6,8,3,50000
Vespiquen,74.7,bug,flying,109.1,143.3,131,2049009,28.5,Fury Cutter,X-Scissor,Power Gem,9,15,3,50000
Tangrowth (Shadow),74.6,grass,none,121.8,112,135,1842421,18.5,Vine Whip,Rock Slide,Power Whip,6,7,3,50000
Spiritomb,74.3,ghost,dark,121.2,146.4,104,1845420,27.5,Sucker Punch,Shadow Ball,Ominous Wind,8,7,5,75000
Infernape,74.1,fire,fighting,136.7,100.4,118,1619407,20.5,Fire Spin,Close Combat,Blast Burn,5,5,3,10000
Gabite,74,dragon,ground,128.8,101,133,1729456,30,Mud Shot,Flamethrower,Twister,7,5,5,75000
Weavile (Shadow),74,dark,ice,143.1,103.4,106,1568420,18.5,Snarl,Avalanche,Foul Play,4,4,3,50000
Luxio,73.9,electric,none,134.1,91.1,137,1672950,47.5,Spark,Wild Charge,Crunch,6,6,5,75000
Luxio (Shadow),73.8,electric,none,134.1,89.1,139,1661818,45.5,Spark,Wild Charge,Crunch,6,6,5,75000
Drifloon,73.7,ghost,flying,110.9,79.8,186,1646946,50,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Weavile,73.4,dark,ice,143.1,103.4,106,1568420,18.5,Snarl,Avalanche,Foul Play,4,4,3,50000
