Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Lickitung,98.6,normal,none,98.3,126.9,183,2282878,50,Lick,Body Slam,Power Whip,12,17,3,50000
Nidoqueen,94.8,poison,ground,117.8,116.5,139,1908186,22,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Chansey,93.1,normal,none,63,120.2,421,3188219,50,Zen Headbutt,Psychic,Hyper Beam,10,14,5,75000
Nidoqueen (Shadow),92.7,poison,ground,117.8,116.5,139,1908186,22,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Pidgeot,92.4,normal,flying,117.2,113.8,143,1905836,26,Gust,Feather Dance,Brave Bird,5,5,1,10000
Snorlax,91,normal,none,108.4,101.7,187,2061936,17.5,Lick,Body Slam,Superpower,12,14,5,75000
Beedrill (Shadow),90.7,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,Drill Run,X-Scissor,7,5,1,10000
Sandslash (Alolan) (Shadow),90.7,ice,steel,116.6,132.6,124,1917384,23,Shadow Claw,Ice Punch,Bulldoze,5,8,3,50000
Hypno,90.5,psychic,none,103.7,140.8,148,2160673,27.5,Confusion,Fire Punch,Shadow Ball,4,5,3,50000
Beedrill,90.4,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,Drill Run,X-Scissor,7,5,1,10000
Snorlax (Shadow),90.2,normal,none,108.4,101.7,187,2061936,17.5,Lick,Body Slam,Superpower,12,14,5,75000
Ninetales (Shadow),90,fire,none,115.1,133.6,126,1936253,24.5,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Golbat,89.8,poison,flying,118.7,113.7,140,1888899,29,Wing Attack,Poison Fang,Shadow Ball,5,8,1,10000
Lapras,89.8,water,ice,104.7,114,179,2135530,21.5,Ice Shard,Surf,Skull Bash,4,8,5,75000
Grimer (Alolan),88.9,poison,dark,123.6,86,171,1818779,49,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Raticate (Alolan),88.7,dark,normal,107.5,130.7,148,2078413,37,Quick Attack,Crunch,Return,7,10,1,10000
Dragonair,88.3,dragon,none,126,111,127,1775090,33,Dragon Breath,Aqua Tail,Dragon Pulse,12,20,5,75000
Muk (Alolan),88.1,poison,dark,117.3,111.3,146,1906470,20.5,Snarl,Sludge Wave,Dark Pulse,5,4,3,50000
Blastoise,87.5,water,none,111.5,140.7,127,1992357,22.5,Water Gun,Hydro Cannon,Skull Bash,14,25,3,10000
Golbat (Shadow),87.5,poison,flying,118.7,113.7,140,1888899,29,Wing Attack,Poison Fang,Shadow Ball,5,8,1,10000
Dragonair (Shadow),87.1,dragon,none,126,111,127,1775090,33,Dragon Breath,Aqua Tail,Dragon Pulse,12,20,5,75000
Sandslash (Alolan),87,ice,steel,116.6,132.6,124,1917384,23,Shadow Claw,Ice Punch,Bulldoze,5,8,3,50000
Lapras (Shadow),86.6,water,ice,104.7,114,179,2135530,21.5,Ice Shard,Surf,Skull Bash,4,8,5,75000
Ninetales,86.1,fire,none,115.1,133.6,126,1936253,24.5,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Charizard (Shadow),85.8,fire,flying,132.2,108.3,117,1674892,19,Dragon Breath,Blast Burn,Dragon Claw,17,12,3,10000
