Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Cottonee,94.1,grass,fairy,53.5,89.1,96,457749,28.5,Charm,Grass Knot,Seed Bomb,9,7,1,10000
Stunfisk (Galarian),93.5,ground,steel,59.7,71.7,98,419439,8.5,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Wigglytuff,91.9,normal,fairy,67,43.2,127,367513,9.5,Charm,Ice Beam,Play Rough,10,10,1,10000
Skorupi,91.8,poison,bug,57.8,94.4,79,431035,19.5,Poison Sting,Aqua Tail,Cross Poison,4,4,5,75000
Altaria,91.7,dragon,flying,60,88.4,78,413979,9.5,Dragon Breath,Sky Attack,Moonblast,15,20,1,10000
Shelmet,91.7,bug,none,49.7,100.1,99,493031,24,Infestation,Body Slam,Bug Buzz,3,5,3,50000
Chansey,91.1,normal,none,34.7,76.5,269,714773,16.5,Pound,Psychic,Hyper Beam,14,20,5,75000
Scrafty,90.8,dark,fighting,65.1,89.1,66,383117,8.5,Counter,Foul Play,Power-Up Punch,7,5,3,50000
Skarmory,90.8,steel,flying,60.7,95.5,70,405994,9,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Skorupi (Shadow),89.6,poison,bug,57.8,94.4,79,431035,19.5,Poison Sting,Aqua Tail,Cross Poison,4,4,5,75000
Onix,88.8,rock,ground,51,136.6,70,487694,18,Rock Throw,Sand Tomb,Heavy Slam,8,10,5,75000
Swinub,88.7,ice,ground,65.3,57.1,102,380348,26.5,Powder Snow,Icy Wind,Body Slam,6,5,3,50000
Deino,88.6,dark,dragon,69.1,60.6,86,360605,18,Dragon Breath,Body Slam,Crunch,12,15,5,75000
Steelix,88.6,steel,ground,57,105.8,72,434543,8,Dragon Tail,Crunch,Heavy Slam,5,6,5,75000
Ducklett,88.5,water,flying,57.6,71.3,106,435461,24,Wing Attack,Bubble Beam,Brave Bird,6,8,3,50000
Swinub (Shadow),88.4,ice,ground,65.3,57.1,102,380348,26.5,Powder Snow,Icy Wind,Body Slam,6,5,3,50000
Whimsicott,88.4,grass,fairy,69.9,76.5,67,358203,9.5,Charm,Grass Knot,Hurricane,9,11,1,10000
Forretress (Shadow),88.1,bug,steel,64.3,81.4,74,387534,8.5,Bug Bite,Mirror Shot,Heavy Slam,12,17,5,75000
Skarmory (Shadow),88,steel,flying,60.7,95.5,70,405994,9,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Stunky (Shadow),87.7,poison,dark,69.5,57,91,360128,16.5,Bite,Crunch,Sludge Bomb,23,25,3,50000
Vigoroth,87.7,normal,none,67.4,65.4,83,365941,9.5,Counter,Body Slam,Brick Break,5,5,5,75000
Wooper (Shadow),87.6,water,ground,59.7,60.5,116,418656,34,Mud Shot,Body Slam,Mud Bomb,4,5,3,50000
Litleo,87.1,fire,normal,69.4,61.2,83,352185,13,Fire Fang,Flame Charge,Crunch,10,9,3,10000
Nidoran Female (Shadow),86.8,poison,none,58.9,67.4,105,416872,24,Poison Sting,Body Slam,Poison Fang,4,4,3,50000
Abomasnow,86.6,grass,ice,69,63,83,361254,8,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Wooper,86.4,water,ground,59.7,60.5,116,418656,34,Mud Shot,Body Slam,Mud Bomb,4,5,3,50000
Diggersby,85.9,normal,ground,55.9,78,102,444733,13,Mud Shot,Fire Punch,Earthquake,5,8,1,10000
Golbat (Shadow),85.8,poison,flying,68.7,67.8,78,363402,9.5,Wing Attack,Poison Fang,Shadow Ball,5,8,1,10000
Pyroar,85.7,fire,normal,78.6,56.6,71,315599,7,Fire Fang,Flame Charge,Dark Pulse,10,10,3,10000
Golbat,85.5,poison,flying,68.7,67.8,78,363402,9.5,Wing Attack,Poison Fang,Shadow Ball,5,8,1,10000
Meowth (Shadow),85.5,normal,none,66.6,61.1,92,374490,27,Scratch,Body Slam,Night Slash,18,18,3,50000
Forretress,85.4,bug,steel,64.3,81.4,74,387534,8.5,Bug Bite,Mirror Shot,Earthquake,12,22,5,75000
Abomasnow (Shadow),85.3,grass,ice,69,63,83,361254,8,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Zweilous,85.3,dark,dragon,71,62.8,79,352101,10.5,Dragon Breath,Body Slam,Dark Pulse,12,17,5,75000
Gligar,85.2,ground,flying,63.4,82.4,75,391598,10,Wing Attack,Night Slash,Aerial Ace,5,7,5,75000
Farfetch'd,85.1,normal,flying,67.8,67.3,80,365398,15.5,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,50000
Vibrava (Shadow),85.1,ground,dragon,72.6,58.9,79,337754,15.5,Dragon Breath,Sand Tomb,Bug Buzz,14,20,5,75000
Tropius,85,grass,flying,59.2,73.9,96,419847,10,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Nidoran Female,84.9,poison,none,58.9,67.4,105,416872,24,Poison Sting,Body Slam,Poison Fang,4,4,3,50000
Scizor (Shadow),84.9,bug,steel,80.8,64.7,59,308794,6.5,Bullet Punch,Night Slash,Iron Head,5,8,5,75000
Dragalge,84.8,poison,dragon,68.3,83.3,64,364093,8,Dragon Tail,Aqua Tail,Outrage,4,7,3,50000
Nidoqueen,84.7,poison,ground,68.5,66.7,80,365497,7.5,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Venonat,84.7,bug,poison,61.3,66.1,99,401260,19.5,Bug Bite,Poison Fang,Signal Beam,12,19,3,50000
Nidoqueen (Shadow),84.6,poison,ground,68.5,66.7,80,365497,7.5,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Qwilfish,84.6,water,poison,76.7,60.3,70,324008,9,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Dragonite,84.5,dragon,flying,79.8,60.4,65,313223,5,Dragon Breath,Dragon Claw,Hurricane,12,22,5,75000
Mandibuzz,84.4,dark,flying,53.5,87.9,99,465953,9,Snarl,Foul Play,Aerial Ace,4,4,5,75000
Barboach,84.3,water,ground,64.1,63.5,95,386772,24,Mud Shot,Aqua Tail,Mud Bomb,4,5,1,10000
Skrelp,84.3,poison,water,64,70.3,85,382568,18,Water Gun,Aqua Tail,Sludge Bomb,12,17,3,50000
Lickitung,84.2,normal,none,56,75.5,105,443689,14,Lick,Body Slam,Power Whip,12,17,3,50000
Stunky,84.2,poison,dark,69.5,57,91,360128,16.5,Bite,Crunch,Sludge Bomb,23,25,3,50000
Scizor,84,bug,steel,80.8,64.7,59,308794,6.5,Bullet Punch,Night Slash,Iron Head,5,8,5,75000
Venonat (Shadow),84,bug,poison,61.3,66.1,99,401260,19.5,Bug Bite,Poison Fang,Signal Beam,12,19,3,50000
Swampert,83.9,water,ground,71.4,63.4,77,348799,6.5,Mud Shot,Hydro Cannon,Sludge Wave,5,8,3,10000
Gligar (Shadow),83.8,ground,flying,63.4,82.4,75,391598,10,Wing Attack,Night Slash,Aerial Ace,5,7,5,75000
Pachirisu,83.4,electric,none,53.4,98.3,89,467591,16,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Toxicroak,83.2,poison,fighting,78.3,52.9,76,314873,7.5,Counter,Mud Bomb,Sludge Bomb,6,8,3,50000
Stunfisk,83.1,ground,electric,59.7,71.7,98,419439,8.5,Mud Shot,Mud Bomb,Discharge,5,5,5,75000
Azurill,83,normal,fairy,42.9,72.3,127,393316,50,Bubble,Body Slam,Ice Beam,4,5,3,10000
Chikorita,83,grass,none,59.5,84.9,83,418811,21.5,Vine Whip,Body Slam,Grass Knot,5,7,3,10000
Dwebble,83,bug,rock,65.2,74.8,78,380401,16,Smack Down,X-Scissor,Rock Blast,5,5,1,10000
Excadrill,83,ground,steel,83.2,45.9,78,297836,6,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Dragonite (Shadow),82.7,dragon,flying,79.8,60.4,65,313223,5,Dragon Tail,Dragon Claw,Hurricane,4,8,5,75000
Escavalier,82.7,bug,steel,77.2,67.1,62,320917,6.5,Counter,Drill Run,Aerial Ace,7,7,3,50000
Fletchinder,82.6,fire,flying,72.7,59,80,343576,12.5,Ember,Flame Charge,Aerial Ace,9,8,1,10000
Gloom (Shadow),82.6,grass,poison,71.1,63.9,77,349881,11.5,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Pawniard,82.6,dark,steel,78,60.4,68,320420,13.5,Fury Cutter,Night Slash,X-Scissor,9,9,5,75000
Umbreon,82.6,dark,none,51.9,100.7,91,475954,9,Snarl,Foul Play,Last Resort,4,5,5,75000
Wormadam (Trash),82.6,bug,steel,60.6,87,77,406166,12,Bug Bite,Iron Head,Bug Buzz,17,20,1,10000
Beedrill,82.5,bug,poison,73.5,61.3,74,333275,10,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Croagunk,82.4,poison,fighting,72.9,53.2,88,341007,20,Poison Jab,Brick Break,Sludge Bomb,5,8,3,50000
Drifloon,82.4,ghost,flying,65.7,50.8,114,380358,16,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Pikachu (Libre),82.4,electric,none,71.1,66.3,74,348845,20,Thunder Shock,Flying Press,Thunder Punch,5,5,1,10000
Vespiquen,82.3,bug,flying,63.3,83.9,74,393075,9.5,Fury Cutter,X-Scissor,Power Gem,9,15,3,50000
Oddish (Shadow),82.2,grass,poison,72.1,65.7,73,346115,16,Razor Leaf,Sludge Bomb,Seed Bomb,13,10,3,50000
Vibrava,82.2,ground,dragon,72.6,58.9,79,337754,15.5,Dragon Breath,Sand Tomb,Bug Buzz,14,20,5,75000
Whiscash,82.2,water,ground,62.7,61.5,102,393732,9,Mud Shot,Mud Bomb,Blizzard,5,9,1,10000
Igglybuff,81.9,normal,fairy,60.7,37.7,180,412294,46,Feint Attack,Body Slam,Wild Charge,6,8,1,10000
Nincada,81.9,bug,ground,57.3,95.1,79,430858,25.5,Bug Bite,Night Slash,Bug Buzz,12,20,5,75000
Beedrill (Shadow),81.8,bug,poison,73.5,61.3,74,333275,10,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Aerodactyl,81.7,rock,flying,79.3,57.6,69,315166,7,Rock Throw,Rock Slide,Earth Power,9,11,5,75000
Jigglypuff,81.7,normal,fairy,59.4,38.2,185,419316,28,Feint Attack,Body Slam,Disarming Voice,6,8,1,10000
Pelipper,81.7,water,flying,72.3,73.5,65,345613,9,Wing Attack,Weather Ball (Water),Hurricane,5,10,3,50000
Vileplume (Shadow),81.5,grass,poison,75,66,67,331613,7.5,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Budew,81.4,grass,poison,61.5,76.4,86,404289,23.5,Razor Leaf,Grass Knot,Energy Ball,13,14,3,10000
Ferrothorn,81.4,grass,steel,62.3,88.6,72,397156,8,Bullet Seed,Power Whip,Mirror Shot,4,3,3,75000
Hoothoot,81.4,normal,flying,52.4,73.8,123,475341,31,Feint Attack,Sky Attack,Aerial Ace,8,8,1,10000
Meowth,81.3,normal,none,66.6,61.1,92,374490,27,Scratch,Body Slam,Night Slash,18,18,3,50000
Pidgeot,81.3,normal,flying,68.3,65.9,81,364876,9,Gust,Feather Dance,Brave Bird,5,5,1,10000
Mantine,81.2,water,flying,60.7,95.5,70,405994,9,Wing Attack,Bubble Beam,Ice Beam,6,8,5,75000
Nidorina,81.2,poison,none,62.6,69.8,91,397927,15,Poison Sting,Poison Fang,Sludge Bomb,4,6,3,50000
Swampert (Shadow),81.2,water,ground,71.4,63.4,77,348799,6.5,Mud Shot,Hydro Cannon,Sludge Wave,5,8,3,10000
Aipom (Shadow),81,normal,none,70.5,62,80,349482,14,Scratch,Aerial Ace,Low Sweep,23,20,3,50000
Victreebel (Shadow),81,grass,poison,79,53.6,74,313664,7.5,Razor Leaf,Leaf Blade,Sludge Bomb,9,13,3,50000
Geodude,80.9,rock,ground,70.9,71.9,69,351744,15,Rock Throw,Rock Slide,Dig,9,16,1,10000
Nidoran Male (Shadow),80.9,poison,none,69.1,57.7,89,354451,22.5,Poison Sting,Body Slam,Sludge Bomb,4,6,3,50000
Numel,80.8,fire,ground,70.7,52.9,94,351160,18.5,Ember,Stomp,Bulldoze,7,10,3,50000
Crobat (Shadow),80.7,poison,flying,71.6,66,74,349645,7,Air Slash,Cross Poison,Shadow Ball,4,7,1,10000
Nidorina (Shadow),80.7,poison,none,62.6,69.8,91,397927,15,Poison Sting,Poison Fang,Sludge Bomb,4,6,3,50000
Seviper,80.6,poison,none,80.3,52.7,73,309224,9,Poison Jab,Poison Fang,Crunch,5,7,3,50000
Charizard,80.5,fire,flying,76.5,62.7,67,321436,6.5,Fire Spin,Blast Burn,Dragon Claw,5,4,3,10000
Ferroseed,80.5,grass,steel,52.6,102.8,86,465621,21,Metal Claw,Iron Head,Flash Cannon,9,12,3,75000
Teddiursa (Shadow),80.5,normal,none,75,53.5,83,332849,14,Scratch,Cross Chop,Crunch,18,23,3,50000
Charizard (Shadow),80.4,fire,flying,76.5,62.7,67,321436,6.5,Fire Spin,Blast Burn,Dragon Claw,5,4,3,10000
Salamence (Shadow),80.4,dragon,flying,84.2,52.2,67,294638,5,Dragon Tail,Outrage,Fire Blast,7,9,5,75000
Piloswine,80.3,ice,ground,70.5,57,88,354072,8,Powder Snow,Avalanche,Stone Edge,6,7,3,50000
Talonflame,80.3,fire,flying,70.5,64.7,77,351584,8.5,Incinerate,Brave Bird,Flame Charge,3,3,1,10000
Hippowdon,80.2,ground,none,68.7,65.8,80,361830,6,Ice Fang,Weather Ball (Rock),Body Slam,7,7,3,50000
Drapion (Shadow),80.1,poison,dark,68.9,77.9,67,359569,7.5,Poison Sting,Aqua Tail,Sludge Bomb,4,6,5,75000
Eevee,80.1,normal,none,61.8,72,90,400187,18,Quick Attack,Body Slam,Dig,5,12,5,75000
Mareep (Shadow),80,electric,none,70.2,54.3,93,354288,19.5,Thunder Shock,Body Slam,Discharge,4,5,5,75000
Crobat,79.9,poison,flying,71.6,66,74,349645,7,Air Slash,Cross Poison,Shadow Ball,4,7,1,10000
