Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Wynaut,99.7,psychic,none,38.7,84,194,630127,50,Counter,Mirror Coat,,8,0,3,10000
Shelmet,92.4,bug,none,49.7,100.1,99,493031,24,Infestation,Body Slam,Bug Buzz,3,5,3,50000
Ducklett,92.2,water,flying,57.6,71.3,106,435461,24,Wing Attack,Bubble Beam,Brave Bird,6,8,3,50000
Jangmo-o,90.4,dragon,none,63.3,72.9,84,387682,20,Dragon Tail,Dragon Claw,Brick Break,4,4,5,75000
Dratini (Shadow),89.5,dragon,none,71.6,60.6,79,342632,19,Dragon Breath,Aqua Tail,Wrap,12,15,5,75000
Ducklett (Shadow),89.1,water,flying,57.6,71.3,106,435461,24,Wing Attack,Bubble Beam,Brave Bird,6,8,3,50000
Dratini,88.7,dragon,none,72.2,60.6,79,345417,19,Dragon Breath,Aqua Tail,Wrap,12,15,5,75000
Skorupi (Shadow),88.5,poison,bug,57.8,94.4,79,431035,19.5,Poison Sting,Cross Poison,Aqua Tail,4,4,5,75000
Drifloon,88.1,ghost,flying,65.7,50.8,114,380358,16,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Nidoran Female (Shadow),88.1,poison,none,58.9,67.4,105,416872,24,Poison Sting,Body Slam,Poison Fang,4,4,3,50000
Lickitung,87.9,normal,none,56,75.5,105,443689,14,Lick,Body Slam,Power Whip,12,17,3,50000
Nidoran Female,87.8,poison,none,58.9,67.4,105,416872,24,Poison Sting,Body Slam,Poison Fang,4,4,3,50000
Nosepass (Shadow),87.3,rock,none,51.4,135,69,478615,20,Rock Throw,Rock Slide,Thunderbolt,9,11,3,50000
Skorupi,87.2,poison,bug,57.8,94.4,79,431035,19.5,Poison Sting,Cross Poison,Aqua Tail,4,4,5,75000
Salandit,86.6,poison,fire,78.2,49.7,82,319075,17.5,Poison Jab,Poison Fang,Flamethrower,5,8,3,50000
Spritzee,86.6,fairy,none,60,67.3,102,411710,15.5,Charm,Thunderbolt,Draining Kiss,10,10,3,50000
