Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Medicham,95.8,fighting,psychic,105,140.3,142,2093069,50,Counter,Power-Up Punch,Psychic,5,8,3,50000
Alomomola,94.9,water,none,96.7,98.8,240,2292831,26,Waterfall,Psychic,Hydro Pump,7,10,5,75000
Lickitung,94.4,normal,none,98.3,126.9,183,2282878,50,Lick,Body Slam,Power Whip,12,17,3,50000
Medicham,92.8,fighting,psychic,107.5,132,134,1900834,40,Counter,Power-Up Punch,Psychic,5,8,3,50000
Scrafty,92.8,dark,fighting,110.4,155.4,117,2007526,24.5,Counter,Foul Play,Power-Up Punch,7,5,3,50000
Talonflame,91.8,fire,flying,122.1,114.7,131,1834291,25.5,Incinerate,Brave Bird,Flame Charge,3,3,1,10000
Seaking,91.4,water,none,123.1,105.9,140,1825075,26.5,Poison Jab,Icy Wind,Drill Run,7,7,3,50000
Aromatisse,90.9,fairy,none,116.5,108,153,1924550,24,Charm,Psychic,Thunderbolt,10,10,3,50000
Clefable,90.6,fairy,none,117.2,111.5,146,1908090,23,Charm,Meteor Mash,Psychic,9,10,1,10000
Slowbro (Galarian),90.1,poison,psychic,119.1,108.4,145,1871629,22.5,Poison Jab,Sludge Bomb,Psychic,8,8,3,50000
Ariados,90,bug,poison,124.7,102,141,1793573,34,Poison Sting,Cross Poison,Lunge,4,5,1,10000
Electrode (Shadow),89.4,electric,none,123.1,127.2,116,1816610,26.5,Volt Switch,Discharge,Hyper Beam,3,5,3,50000
Magcargo,89.4,fire,rock,110.2,157.9,116,2017737,36.5,Incinerate,Overheat,Rock Tomb,3,3,1,10000
Wigglytuff,89.4,normal,fairy,115.8,75.5,220,1924765,29,Charm,Ice Beam,Play Rough,10,10,1,10000
Lycanroc (Midnight),89.1,rock,none,134.3,101,123,1668138,20.5,Counter,Stone Edge,Psychic Fangs,8,5,5,50000
Electrode (Hisuian),89,electric,grass,123.3,130.1,113,1812571,26,Thunder Shock,Wild Charge,Energy Ball,5,7,3,50000
Spritzee,88.9,fairy,none,105,107.6,168,1898008,50,Charm,Thunderbolt,Draining Kiss,10,10,3,50000
Wormadam (Trash),88.8,bug,steel,105.2,150.9,134,2126928,42.5,Confusion,Bug Buzz,Iron Head,5,5,1,10000
Lickilicky,88.6,normal,none,106.3,121.1,164,2111832,23,Lick,Body Slam,Earthquake,12,22,3,50000
Sylveon,88.5,fairy,none,118.9,121.2,131,1888899,18.5,Charm,Moonblast,Psyshock,10,8,5,75000
Druddigon,88.3,dragon,none,131.4,110.5,117,1699459,20,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Electrode,88.1,electric,none,123.1,127.2,116,1816610,26.5,Volt Switch,Discharge,Hyper Beam,3,5,3,50000
Crustle,87.9,bug,rock,120.9,134.1,114,1848465,22,Smack Down,X-Scissor,Rock Slide,5,6,1,10000
Milotic,87,water,none,113.2,132.2,132,1974479,18.5,Waterfall,Surf,Hyper Beam,5,10,5,75000
Chansey,86.6,normal,none,63,120.2,421,3188219,50,Zen Headbutt,Psychic,Hyper Beam,10,14,5,75000
Charizard,86.4,fire,flying,132.2,108.3,117,1674892,19,Wing Attack,Dragon Claw,Blast Burn,5,8,3,10000
Corsola,86.2,water,rock,109.3,141.6,133,2057200,47.5,Bubble,Rock Blast,Bubble Beam,4,4,3,50000
Slowpoke,85.6,water,psychic,104.2,95,186,1840271,50,Confusion,Psyshock,Return,4,6,3,50000
