Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Melmetal,100,steel,none,190.5,162,220,6788558,40,Thunder Shock,Superpower,Rock Slide
Togekiss,95.5,fairy,flying,189.7,183.3,168,5842416,40,Charm,Ancient Power,Flamethrower
Palkia,93.6,water,dragon,233.1,181.8,161,6822754,40,Dragon Breath,Aqua Tail,Draco Meteor
Snorlax,89.6,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Earthquake
Dragonite,89.4,dragon,flying,219.7,168.3,177,6546085,40,Dragon Breath,Dragon Claw,Hurricane
Dragonite (Shadow),88.7,dragon,flying,219.7,168.3,177,6546085,40,Dragon Breath,Dragon Claw,Hurricane
Giratina (Origin),88.2,ghost,dragon,189.7,159.6,236,7145927,40,Shadow Claw,Shadow Ball,Ominous Wind
Groudon,88.2,ground,none,225.2,192,173,7483094,40,Mud Shot,Earthquake,Fire Punch
Kyogre,86.8,water,none,225.2,192,173,7483094,40,Waterfall,Surf,Blizzard
Snorlax (Shadow),86.8,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Superpower
Lugia,86.5,psychic,flying,164.4,256.8,197,8317578,40,Dragon Tail,Sky Attack,Aeroblast
Zapdos,86.1,electric,flying,211.8,158.1,175,5858505,40,Thunder Shock,Drill Peck,Thunderbolt
Giratina (Altered),83.5,ghost,dragon,159.6,189.7,236,7145927,40,Shadow Claw,Dragon Claw,Shadow Sneak
Dialga,83.2,steel,dragon,229.2,178.6,173,7081684,40,Dragon Breath,Iron Head,Draco Meteor
Obstagoon,81.8,dark,normal,154.1,165.2,179,4556359,40,Counter,Night Slash,Cross Chop
Tyranitar,81.6,rock,dark,210.2,175.4,189,6970764,40,Smack Down,Crunch,Stone Edge
Kyurem,79.5,dragon,ice,206.3,146.2,205,6182300,40,Dragon Breath,Dragon Claw,Blizzard
Gardevoir (Shadow),78.3,psychic,fairy,199.2,166,145,4792607,40,Charm,Synchronoise,Shadow Ball
Swampert,75.7,water,ground,176.2,150.2,189,5001546,40,Mud Shot,Hydro Cannon,Earthquake
Zekrom,75.5,dragon,electric,229.2,178.6,173,7081684,40,Dragon Breath,Crunch,Wild Charge
Gyarados (Shadow),75.2,water,flying,199.2,158.9,182,5757739,40,Dragon Breath,Aqua Tail,Crunch
Reshiram,75.2,dragon,fire,229.2,178.6,173,7081684,40,Dragon Breath,Crunch,Overheat
Ho-Oh,75,fire,flying,200.7,204.7,180,7395882,40,Incinerate,Brave Bird,Earthquake
Heatran,73.4,fire,steel,210.2,180.2,177,6704613,40,Fire Spin,Flamethrower,Iron Head
Gyarados,73.1,water,flying,199.2,158.9,182,5757739,40,Dragon Breath,Aqua Tail,Crunch
Raikou,72.2,electric,none,202.3,166,175,5875993,40,Volt Switch,Wild Charge,Shadow Ball
Magnezone,72,electric,steel,199.9,173.9,147,5110278,40,Spark,Wild Charge,Mirror Shot
Rhyperior,70.5,ground,rock,202.3,162,210,6883306,40,Mud Slap,Rock Wrecker,Surf
Landorus (Incarnate),69.8,ground,flying,218.1,155.7,173,5874966,40,Mud Shot,Rock Slide,Earth Power
Gardevoir,69.1,psychic,fairy,199.2,166,145,4792607,40,Charm,Synchronoise,Shadow Ball
