Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Groudon,93.7,ground,none,225.2,192,173,7483094,40,Mud Shot,Earthquake,Fire Punch,8,5,20,100000
Melmetal,92.8,steel,none,190.5,162,220,6788558,40,Thunder Shock,Superpower,Rock Slide,5,5,20,100000
Ho-Oh,92.2,fire,flying,200.7,204.7,180,7395882,40,Incinerate,Brave Bird,Earthquake,3,4,20,100000
Lugia,92.1,psychic,flying,164.4,256.8,197,8317578,40,Dragon Tail,Sky Attack,Aeroblast,5,9,20,100000
Yveltal,91.5,dark,flying,209.4,158.1,206,6819100,40,Snarl,Dark Pulse,Focus Blast,4,6,20,100000
Dialga,91.1,steel,dragon,229.2,178.6,173,7081684,40,Dragon Breath,Iron Head,Draco Meteor,17,22,20,100000
Garchomp,90.5,dragon,ground,218.1,164.4,200,7171110,40,Mud Shot,Outrage,Earth Power,7,7,5,75000
Mewtwo,90.4,psychic,none,248.9,155.7,180,6976430,40,Psycho Cut,Psystrike,Focus Blast,5,9,20,100000
Zekrom,90.3,dragon,electric,229.2,178.6,173,7081684,40,Dragon Breath,Crunch,Wild Charge,15,15,20,100000
Zarude,90.2,dark,grass,203.1,181.8,195,7199122,40,Vine Whip,Dark Pulse,Power Whip,7,7,20,100000
Giratina (Origin),90.1,ghost,dragon,189.7,159.6,236,7145927,40,Shadow Claw,Shadow Ball,Ominous Wind,7,6,20,100000
Dragonite (Shadow),90,dragon,flying,219.7,168.3,177,6546085,40,Dragon Breath,Dragon Claw,Hurricane,12,22,5,75000
Zamazenta (Hero),89.7,fighting,none,212.6,198.4,163,6873811,40,Snarl,Close Combat,Crunch,4,4,20,100000
Snorlax (Shadow),89.3,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Superpower,12,14,5,75000
Palkia,88.6,water,dragon,233.1,181.8,161,6822754,40,Dragon Breath,Aqua Tail,Draco Meteor,12,22,20,100000
Zacian (Hero),88.5,fairy,none,212.6,198.4,163,6873811,40,Snarl,Close Combat,Play Rough,4,5,20,100000
Reshiram,88.3,dragon,fire,229.2,178.6,173,7081684,40,Dragon Breath,Crunch,Overheat,15,19,20,100000
