Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Mamoswine (Shadow),100,ice,ground,207.1,127.2,203,5348194,40,Powder Snow,Avalanche,Bulldoze
Garchomp,97.6,dragon,ground,218.1,164.4,200,7171110,40,Mud Shot,Outrage,Earthquake
Zekrom,97.6,dragon,electric,229.2,178.6,173,7081684,40,Dragon Breath,Crunch,Wild Charge
Landorus (Incarnate),97.3,ground,flying,218.1,155.7,173,5874966,40,Mud Shot,Rock Slide,Earth Power
Dialga,96.5,steel,dragon,229.2,178.6,173,7081684,40,Dragon Breath,Iron Head,Draco Meteor
Groudon,95.5,ground,none,225.2,192,173,7483094,40,Mud Shot,Earthquake,Fire Punch
Giratina (Origin),95.1,ghost,dragon,189.7,159.6,236,7145927,40,Shadow Claw,Shadow Ball,Ominous Wind
Melmetal,94.5,steel,none,190.5,162,220,6788558,40,Thunder Shock,Superpower,Rock Slide
Ho-Oh,94.3,fire,flying,200.7,204.7,180,7395882,40,Incinerate,Brave Bird,Earthquake
Mewtwo,92.5,psychic,none,248.9,155.7,180,6976430,40,Psycho Cut,Psystrike,Focus Blast
Reshiram,92.1,dragon,fire,229.2,178.6,173,7081684,40,Dragon Breath,Crunch,Overheat
Dragonite (Shadow),91.6,dragon,flying,219.7,168.3,177,6546085,40,Dragon Breath,Dragon Claw,Hurricane
Raikou (Shadow),91.6,electric,none,202.3,166,175,5875993,40,Volt Switch,Wild Charge,Shadow Ball
Swampert (Shadow),91,water,ground,176.2,150.2,189,5001546,40,Mud Shot,Hydro Cannon,Earthquake
Swampert,90,water,ground,176.2,150.2,189,5001546,40,Mud Shot,Hydro Cannon,Earthquake
Lugia,89.8,psychic,flying,164.4,256.8,197,8317578,40,Dragon Tail,Sky Attack,Aeroblast
Conkeldurr,88.5,fighting,none,203.9,136.7,195,5436062,40,Counter,Dynamic Punch,Stone Edge
Raikou,88.5,electric,none,202.3,166,175,5875993,40,Volt Switch,Wild Charge,Shadow Ball
Metagross (Shadow),88,steel,psychic,215,192,162,6687660,40,Bullet Punch,Meteor Mash,Earthquake
Palkia,87.6,water,dragon,233.1,181.8,161,6822754,40,Dragon Breath,Aqua Tail,Draco Meteor
Regice,87.5,ice,none,153.3,256.1,162,6359833,40,Lock On,Blizzard,Earthquake
Metagross,86.5,steel,psychic,215,192,162,6687660,40,Bullet Punch,Meteor Mash,Earthquake
Mamoswine,86.3,ice,ground,207.1,127.2,203,5348194,40,Powder Snow,Avalanche,Bulldoze
Dragonite,85.8,dragon,flying,219.7,168.3,177,6546085,40,Dragon Breath,Dragon Claw,Hurricane
Mewtwo (Shadow),85,psychic,none,248.9,155.7,180,6976430,40,Psycho Cut,Psystrike,Shadow Ball
Krookodile,83.8,ground,dark,192.8,136.7,182,4798343,40,Snarl,Crunch,Earthquake
Regirock,83.3,rock,none,153.3,256.1,162,6359833,40,Lock On,Stone Edge,Focus Blast
Excadrill,83,ground,steel,213.4,113.8,203,4929539,40,Mud Shot,Drill Run,Rock Slide
Snorlax (Shadow),82.5,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Superpower
Latios,82.3,dragon,psychic,223.7,179.4,162,6499969,40,Dragon Breath,Dragon Claw,Psychic
Heracross,81.6,bug,fighting,196.8,153.3,162,4887650,40,Counter,Close Combat,Megahorn
Porygon-Z,81.6,normal,none,220.5,130.4,168,4830381,40,Lock On,Tri Attack,Blizzard
Kyogre,81,water,none,225.2,192,173,7483094,40,Waterfall,Surf,Blizzard
Gyarados (Shadow),80.8,water,flying,199.2,158.9,182,5757739,40,Dragon Breath,Aqua Tail,Crunch
Porygon-Z (Shadow),80.6,normal,none,220.5,130.4,168,4830381,40,Lock On,Tri Attack,Blizzard
Ursaring (Shadow),80.3,normal,none,198.4,125.7,175,4362072,40,Shadow Claw,Close Combat,Hyper Beam
Hariyama,79.8,fighting,none,177,101.9,250,4511923,40,Counter,Close Combat,Heavy Slam
Hydreigon,79.8,dark,dragon,214.2,160.4,178,6116026,40,Dragon Breath,Dark Pulse,Dragon Pulse
Rhyperior,79.6,ground,rock,202.3,162,210,6883306,40,Mud Slap,Rock Wrecker,Surf
Mew,79.5,psychic,none,177.8,177.8,189,5976003,40,Shadow Claw,Psyshock,Focus Blast
Snorlax,78.5,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Earthquake
Togekiss,78.5,fairy,flying,189.7,183.3,168,5842416,40,Charm,Ancient Power,Flamethrower
Magnezone (Shadow),78.3,electric,steel,199.9,173.9,147,5110278,40,Spark,Wild Charge,Mirror Shot
Braviary,78,normal,flying,195.2,132,189,4869218,40,Air Slash,Brave Bird,Close Combat
Electivire (Shadow),78,electric,none,208.6,140.7,154,4519898,40,Thunder Shock,Wild Charge,Ice Punch
Giratina (Altered),78,ghost,dragon,159.6,189.7,236,7145927,40,Shadow Claw,Dragon Claw,Shadow Sneak
Zapdos,77.8,electric,flying,211.8,158.1,175,5858505,40,Thunder Shock,Drill Peck,Thunderbolt
