Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Groudon,100,ground,none,225.2,192,173,7483094,40,Mud Shot,Earthquake,Fire Punch
Ho-Oh,95.3,fire,flying,200.7,204.7,180,7395882,40,Incinerate,Brave Bird,Earthquake
Snorlax (Shadow),94.1,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Superpower
Giratina (Origin),90.5,ghost,dragon,189.7,159.6,236,7145927,40,Shadow Claw,Shadow Ball,Ominous Wind
Dialga,89,steel,dragon,229.2,178.6,173,7081684,40,Dragon Breath,Iron Head,Draco Meteor
Melmetal,88.8,steel,none,190.5,162,220,6788558,40,Thunder Shock,Superpower,Rock Slide
Mewtwo,88.8,psychic,none,248.9,155.7,180,6976430,40,Psycho Cut,Psystrike,Focus Blast
Snorlax,87,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Earthquake
Rhyperior,86.3,ground,rock,202.3,162,210,6883306,40,Mud Slap,Rock Wrecker,Surf
Dragonite,85.7,dragon,flying,219.7,168.3,177,6546085,40,Dragon Breath,Dragon Claw,Hurricane
Mamoswine,85,ice,ground,207.1,127.2,203,5348194,40,Powder Snow,Avalanche,Bulldoze
Palkia,84.5,water,dragon,233.1,181.8,161,6822754,40,Dragon Breath,Aqua Tail,Draco Meteor
Mewtwo (Shadow),83.4,psychic,none,248.9,155.7,180,6976430,40,Psycho Cut,Psystrike,Shadow Ball
Gardevoir (Shadow),83.1,psychic,fairy,199.2,166,145,4792607,40,Charm,Synchronoise,Shadow Ball
Gyarados (Shadow),82.5,water,flying,199.2,158.9,182,5757739,40,Dragon Breath,Aqua Tail,Crunch
Genesect (Burn),82.1,bug,steel,211,169.1,149,5317350,40,Fury Cutter,X-Scissor,Techno Blast (Burn)
Lugia,81.9,psychic,flying,164.4,256.8,197,8317578,40,Dragon Tail,Sky Attack,Aeroblast
Mew,81.6,psychic,none,177.8,177.8,189,5976003,40,Shadow Claw,Psyshock,Focus Blast
Dragonite (Shadow),81.3,dragon,flying,219.7,168.3,177,6546085,40,Dragon Breath,Dragon Claw,Hurricane
Giratina (Altered),81.3,ghost,dragon,159.6,189.7,236,7145927,40,Shadow Claw,Dragon Claw,Shadow Sneak
Magnezone (Shadow),81.3,electric,steel,199.9,173.9,147,5110278,40,Spark,Wild Charge,Mirror Shot
Articuno,81.1,ice,flying,163.6,198.4,175,5678924,40,Ice Shard,Icy Wind,Hurricane
Swampert,80.5,water,ground,176.2,150.2,189,5001546,40,Mud Shot,Hydro Cannon,Earthquake
Excadrill,80,ground,steel,213.4,113.8,203,4929539,40,Mud Shot,Drill Run,Rock Slide
Gyarados,79.6,water,flying,199.2,158.9,182,5757739,40,Dragon Breath,Aqua Tail,Crunch
