Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Gyarados (Shadow),94.1,water,flying,199.2,158.9,182,5757739,40,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Metagross,93.7,steel,psychic,215,192,162,6687660,40,Bullet Punch,Meteor Mash,Earthquake,8,10,5,75000
Garchomp,92.2,dragon,ground,218.1,164.4,200,7171110,40,Mud Shot,Sand Tomb,Outrage,5,7,5,75000
Snorlax (Shadow),91.6,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Superpower,12,14,5,75000
Dragonite,91.5,dragon,flying,219.7,168.3,177,6546085,40,Dragon Breath,Dragon Claw,Hurricane,12,22,5,75000
Togekiss,90.7,fairy,flying,189.7,183.3,168,5842416,40,Charm,Ancient Power,Flamethrower,8,10,3,50000
Excadrill,90.6,ground,steel,213.4,113.8,203,4929539,40,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Dragonite (Shadow),90.4,dragon,flying,219.7,168.3,177,6546085,40,Dragon Tail,Dragon Claw,Hurricane,4,8,5,75000
Gyarados,89.7,water,flying,199.2,158.9,182,5757739,40,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Metagross (Shadow),89,steel,psychic,215,192,162,6687660,40,Bullet Punch,Meteor Mash,Earthquake,8,10,5,75000
Sylveon,88.6,fairy,none,172.3,173.9,182,5451733,40,Charm,Moonblast,Psyshock,10,8,5,75000
Magnezone (Shadow),88.4,electric,steel,199.9,173.9,147,5110278,40,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Mamoswine,87.2,ice,ground,207.1,127.2,203,5348194,40,Powder Snow,Avalanche,Bulldoze,6,8,3,50000
Machamp (Shadow),87.1,fighting,none,196.8,137.5,175,4735552,40,Counter,Cross Chop,Rock Slide,5,7,3,50000
Gardevoir (Shadow),87,psychic,fairy,199.2,166,145,4792607,40,Charm,Synchronoise,Shadow Ball,9,10,5,75000
Snorlax,87,normal,none,162,145.4,272,6408030,40,Lick,Body Slam,Superpower,12,14,5,75000
Magnezone,86.7,electric,steel,199.9,173.9,147,5110278,40,Spark,Wild Charge,Mirror Shot,6,5,3,50000
