Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Lickitung (XL),100,normal,none,98.3,124.4,186,2274203,50,Lick,Body Slam,Power Whip
Cresselia,96.8,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast
Wobbuffet (XL),96.3,psychic,none,63,101.7,333,2133829,50,Counter,Return,Mirror Coat
Dewgong,93.8,water,ice,102.7,136.2,154,2154277,28.5,Ice Shard,Icy Wind,Water Pulse
Deoxys (Defense),93.1,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Psycho Boost,Rock Slide
Mantine,92.3,water,flying,106.9,163.1,120,2092515,27,Wing Attack,Bubble Beam,Ice Beam
Altaria,91.4,dragon,flying,104.1,149.8,137,2136376,28.5,Dragon Breath,Sky Attack,Dragon Pulse
Hypno,89.9,psychic,none,104.8,143.7,142,2138624,27,Confusion,Shadow Ball,Thunder Punch
Lapras,87.8,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash
Marowak (Alolan),87.6,fire,ghost,111.4,145.3,124,2007734,31,Fire Spin,Shadow Bone,Bone Club
Lickitung,87.2,normal,none,97.2,120.1,175,2043482,40,Lick,Body Slam,Power Whip
Castform (Snowy),86.3,ice,none,114.2,118.9,144,1955147,39.5,Powder Snow,Weather Ball (Ice),Blizzard
Suicune,85.5,water,none,106.9,141.3,137,2069442,18.5,Snarl,Bubble Beam,Hydro Pump
Munchlax,85,normal,none,104.6,93.7,218,2136331,30,Lick,Body Slam,Bulldoze
Sealeo,84.2,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam
Lickilicky,83.3,normal,none,106.5,122.8,160,2092956,22,Lick,Body Slam,Shadow Ball
Jellicent,82.7,water,ghost,108.6,125.7,151,2061200,24,Hex,Ice Beam,Shadow Ball
Regirock,82,rock,none,105.4,180.2,112,2127885,18,Lock On,Stone Edge,Focus Blast
