Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Froslass,100,ice,ghost,125.4,109.3,131,1795223,27.5,Powder Snow,Avalanche,Shadow Ball
Drifblim,96.8,ghost,flying,120.5,73.8,208,1849564,23.5,Hex,Icy Wind,Shadow Ball
Zapdos (Shadow),96.5,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunderbolt
Abomasnow (Shadow),95.4,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Flygon (Shadow),94.3,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Stone Edge
Zangoose,93.6,normal,none,146.4,87.4,119,1523126,22.5,Shadow Claw,Night Slash,Close Combat
Swampert (Shadow),93.4,water,ground,124,106,137,1800668,19,Mud Shot,Hydro Cannon,Sludge Wave
Talonflame,93.4,fire,flying,123.3,112.4,131,1815258,26,Incinerate,Brave Bird,Flame Charge
Gengar,93.3,ghost,poison,156.6,95.5,95,1420960,19,Shadow Claw,Shadow Ball,Shadow Punch
Castform (Snowy),92.9,ice,none,114.2,118.9,144,1955147,39.5,Powder Snow,Weather Ball (Ice),Blizzard
Abomasnow,92.3,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Lickitung (XL),92.1,normal,none,98.3,124.4,186,2274203,50,Lick,Body Slam,Power Whip
Mew,92,psychic,none,120.5,120.5,127,1843005,16.5,Shadow Claw,Rock Slide,Ice Beam
Haunter,91.7,ghost,poison,163.3,87,96,1364117,28.5,Shadow Claw,Shadow Punch,Shadow Ball
Raikou (Shadow),91.6,electric,none,132,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball
Swampert,91.6,water,ground,124,106,137,1800668,19,Mud Shot,Hydro Cannon,Sludge Wave
Electivire (Shadow),91.5,electric,none,144,98,109,1538496,18,Thunder Shock,Ice Punch,Wild Charge
Gliscor (Shadow),91.5,ground,flying,116.1,142.1,116,1914629,20.5,Fury Cutter,Earthquake,Night Slash
Golbat (Shadow),91.4,poison,flying,119.5,115.2,136,1872017,28,Wing Attack,Poison Fang,Shadow Ball
Medicham (XL),91.2,fighting,psychic,107.9,137,141,2085050,48,Counter,Ice Punch,Psychic
Regirock,91,rock,none,105.4,180.2,112,2127885,18,Lock On,Stone Edge,Focus Blast
