Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Froslass,100,ice,ghost,125.4,109.3,131,1795223,27.5,Powder Snow,Avalanche,Shadow Ball
Regirock,95.2,rock,none,105.4,180.2,112,2127885,18,Lock On,Stone Edge,Focus Blast
Raikou (Shadow),93.7,electric,none,132,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball
Electivire (Shadow),93.4,electric,none,144,98,109,1538496,18,Thunder Shock,Ice Punch,Wild Charge
Deoxys (Defense),93.1,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Psycho Boost,Rock Slide
Regice,92.8,ice,none,105.4,180.2,112,2127885,18,Lock On,Blizzard,Earthquake
Mewtwo (Shadow),92.2,psychic,none,146.9,94.4,108,1497979,13,Psycho Cut,Psystrike,Ice Beam
Cresselia,90.2,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast
Lanturn,90.2,water,electric,104.8,104.8,192,2109375,27,Spark,Thunderbolt,Hydro Pump
Lickitung (XL),90,normal,none,98.3,124.4,186,2274203,50,Lick,Body Slam,Power Whip
Raikou,89.1,electric,none,132,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball
Abomasnow,88.3,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Altaria,88.3,dragon,flying,104.1,149.8,137,2136376,28.5,Dragon Breath,Sky Attack,Dragon Pulse
Abomasnow (Shadow),88,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball
Mew,88,psychic,none,120.5,120.5,127,1843005,16.5,Shadow Claw,Rock Slide,Ice Beam
Electivire,87.6,electric,none,144,98,109,1538496,18,Thunder Shock,Ice Punch,Wild Charge
Jellicent,87.4,water,ghost,108.6,125.7,151,2061200,24,Hex,Ice Beam,Shadow Ball
Raichu (Alolan),86.8,electric,psychic,136.2,111.7,107,1628654,24.5,Volt Switch,Wild Charge,Grass Knot
Banette,85.9,ghost,none,145.9,91.6,113,1510933,24,Shadow Claw,Shadow Ball,Thunder
Lickilicky,85.9,normal,none,106.5,122.8,160,2092956,22,Lick,Body Slam,Shadow Ball
Uxie,85.3,psychic,none,103.1,177.5,119,2178203,23,Confusion,Future Sight,Thunder
Hypno,85.1,psychic,none,104.8,143.7,142,2138624,27,Confusion,Shadow Ball,Thunder Punch
Machamp (Shadow),85.1,fighting,none,136,95.8,125,1628538,18,Counter,Cross Chop,Rock Slide
Medicham (XL),84.8,fighting,psychic,107.9,137,141,2085050,48,Counter,Ice Punch,Psychic
