Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Lickitung (XL),100,normal,none,98.3,124.4,186,2274203,50,Lick,Body Slam,Power Whip
Hypno,99.2,psychic,none,104.8,143.7,142,2138624,27,Confusion,Shadow Ball,Thunder Punch
Cresselia,97.7,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast
Froslass,97.6,ice,ghost,125.4,109.3,131,1795223,27.5,Powder Snow,Avalanche,Shadow Ball
Deoxys (Defense),96.7,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Psycho Boost,Rock Slide
Mew,95.8,psychic,none,120.5,120.5,127,1843005,16.5,Shadow Claw,Rock Slide,Ice Beam
Gyarados,95.5,water,flying,132,105.3,122,1695047,16,Dragon Breath,Aqua Tail,Crunch
Galvantula,95.2,bug,electric,138.3,94.8,122,1599873,25,Volt Switch,Discharge,Lunge
Dragonair (Shadow),94.5,dragon,none,126,111.7,125,1758941,33,Dragon Breath,Aqua Tail,Dragon Pulse
Pelipper,93.7,water,flying,124.7,127.4,113,1794220,26,Wing Attack,Weather Ball (Water),Hurricane
Gyarados (Shadow),91.9,water,flying,132,105.3,122,1695047,16,Dragon Breath,Aqua Tail,Crunch
Sealeo (Shadow),91.9,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam
Snorlax (Shadow),91.8,normal,none,107.4,100.2,190,2045672,17,Lick,Body Slam,Superpower
Lickilicky,91.6,normal,none,106.5,122.8,160,2092956,22,Lick,Body Slam,Shadow Ball
Zapdos (Shadow),91.2,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunderbolt
Sealeo,91,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam
Politoed,90.6,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Blizzard
Gallade,89.9,psychic,fighting,137.2,115.6,102,1617468,18,Confusion,Leaf Blade,Close Combat
Lapras (Shadow),89.6,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash
Snorlax,89.6,normal,none,107.4,100.2,190,2045672,17,Lick,Body Slam,Superpower
Zangoose,89.4,normal,none,146.4,87.4,119,1523126,22.5,Shadow Claw,Night Slash,Close Combat
Dragonair,89,dragon,none,126,111.7,125,1758941,33,Dragon Breath,Aqua Tail,Wrap
Dusclops (Shadow),88.8,ghost,none,106.3,191.7,103,2099186,37.5,Hex,Shadow Punch,Ice Punch
Latios,88.8,dragon,psychic,140.5,112.5,101,1595527,14,Dragon Breath,Dragon Claw,Psychic
Medicham (XL),88.8,fighting,psychic,107.9,137,141,2085050,48,Counter,Ice Punch,Psychic
Regirock,88.8,rock,none,105.4,180.2,112,2127885,18,Lock On,Stone Edge,Focus Blast
Lickitung,88.7,normal,none,97.2,120.1,175,2043482,40,Lick,Body Slam,Power Whip
Politoed (Shadow),88.7,water,none,116,121,138,1936695,22.5,Mud Shot,Weather Ball (Water),Blizzard
Lapras,88.2,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash
Golbat (Shadow),87.3,poison,flying,119.5,115.2,136,1872017,28,Wing Attack,Poison Fang,Shadow Ball
