Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Pachirisu,95.3,electric,none,91.6,157.1,142,2043738,50,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Lickitung,94.6,normal,none,98.3,126.9,183,2282878,50,Lick,Body Slam,Power Whip,12,17,3,50000
Trevenant,93.8,ghost,grass,127.8,104.6,131,1752077,22,Shadow Claw,Seed Bomb,Shadow Ball,5,7,5,75000
Diggersby,93.6,normal,ground,96.3,141.2,171,2324733,48,Mud Shot,Fire Punch,Earthquake,5,8,1,10000
Zapdos (Shadow),93.6,electric,flying,136.2,104.7,115,1639560,15.5,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Tropius,93.3,grass,flying,101.4,127.3,170,2195741,29,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Galvantula,92.5,bug,electric,139,93.8,124,1615746,25.5,Volt Switch,Discharge,Lunge,3,3,3,50000
Vigoroth,92.5,normal,none,117.7,112.7,144,1909363,28.5,Counter,Body Slam,Bulldoze,5,9,5,75000
Abomasnow (Shadow),92.4,grass,ice,117.9,111.4,143,1877258,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Zapdos,92.2,electric,flying,136.2,104.7,115,1639560,15.5,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Magnezone (Shadow),92.1,electric,steel,134.9,120.1,102,1652719,17,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Blaziken,92,fire,fighting,144.4,90.8,118,1547820,19,Counter,Blaze Kick,Brave Bird,6,8,3,10000
Buzzwole,91.8,bug,fighting,129.3,112.7,119,1735016,16,Counter,Superpower,Lunge,6,7,20,100000
Cradily,91.7,rock,grass,106.3,139,143,2111521,26,Bullet Seed,Stone Edge,Grass Knot,5,4,3,50000
Jumpluff,91.4,grass,flying,97,153.5,155,2308399,41,Bullet Seed,Energy Ball,Acrobatics,5,5,3,50000
Noctowl,91.4,normal,flying,105.3,120.2,167,2113724,28,Wing Attack,Sky Attack,Shadow Ball,7,8,1,10000
Swampert (Shadow),91.4,water,ground,123,108.6,136,1815930,18.5,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Ninetales,91.3,fire,none,115.1,133.6,126,1936253,24.5,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Walrein,91.1,ice,water,113.1,114.3,153,1978119,20.5,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Chansey,90.9,normal,none,63,120.2,421,3188219,50,Zen Headbutt,Psychic,Hyper Beam,10,14,5,75000
Beedrill (Shadow),90.5,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Abomasnow,90.3,grass,ice,117.9,111.4,143,1877258,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Luxray (Shadow),90.3,electric,none,138,99,118,1611912,19,Spark,Wild Charge,Psychic Fangs,6,5,5,75000
Bewear,90.2,normal,fighting,130.4,85.6,154,1717970,18,Shadow Claw,Superpower,Stomp,5,5,1,10000
Magnezone,89.9,electric,steel,134.9,120.1,102,1652719,17,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Jumpluff (Shadow),89.8,grass,flying,97,153.5,155,2308399,41,Bullet Seed,Energy Ball,Acrobatics,5,5,3,50000
