Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Buddy Distance,Charged Move Cost
Golbat,80.9,poison,flying,118.7,113.7,140,1888899,29,Wing Attack,Poison Fang,Shadow Ball,1,10000
Flygon,80.8,ground,dragon,129.2,109.6,123,1740871,21,Mud Shot,Dragon Claw,Stone Edge,5,75000
Raichu,80.7,electric,none,133.6,110.6,113,1669771,25.5,Volt Switch,Wild Charge,Thunder Punch,1,10000
Hitmontop,80.6,fighting,none,121.7,151.3,100,1841514,26.5,Counter,Close Combat,Stone Edge,5,75000
Raichu (Alolan),80.6,electric,psychic,136.2,111.7,108,1643875,24.5,Volt Switch,Wild Charge,Grass Knot,1,10000
Tangrowth,80.5,grass,none,121.8,112,135,1842421,18.5,Vine Whip,Power Whip,Rock Slide,3,50000
Golem (Alolan),80.4,rock,electric,125.2,121.7,117,1782513,19,Volt Switch,Wild Charge,Rock Blast,1,10000
Jumpluff (Shadow),80.3,grass,flying,97,153.5,155,2308399,41,Bullet Seed,Aerial Ace,Energy Ball,3,50000
Ninetales,80.3,fire,none,115.1,133.6,126,1936253,24.5,Fire Spin,Weather Ball (Fire),Solar Beam,3,50000
Articuno (Shadow),80.2,ice,flying,113.2,143.6,122,1983584,18.5,Ice Shard,Icy Wind,Hurricane,20,100000
Bellossom,80.2,grass,none,115.7,132.9,126,1937741,24.5,Bullet Seed,Leaf Blade,Return,3,50000
Gallade (Shadow),80.2,psychic,fighting,137.2,114.5,104,1633015,18,Confusion,Leaf Blade,Close Combat,5,75000
Bellossom (Shadow),80.1,grass,none,115.7,132.9,126,1937741,24.5,Bullet Seed,Leaf Blade,Dazzling Gleam,3,50000
Electivire,80.1,electric,none,144,98,110,1552610,18,Thunder Shock,Ice Punch,Wild Charge,5,75000
Stunfisk,79.7,ground,electric,101.8,127.9,169,2200089,26.5,Mud Shot,Mud Bomb,Discharge,5,75000
Charizard (Shadow),79.5,fire,flying,132.2,108.3,117,1674892,19,Fire Spin,Blast Burn,Dragon Claw,3,10000
Gliscor (Shadow),79.5,ground,flying,115.7,143.9,116,1930695,21,Fury Cutter,Earthquake,Night Slash,5,75000
Servine,79.5,grass,none,107.2,137.4,142,2092314,49.5,Vine Whip,Grass Knot,Leaf Tornado,3,10000
Quilladin,79.4,grass,none,115.4,130,129,1935329,35.5,Vine Whip,Body Slam,Energy Ball,3,10000
Dragalge,79.3,poison,dragon,117.9,139.9,115,1895881,23.5,Dragon Tail,Aqua Tail,Outrage,3,50000
Gallade,79.3,psychic,fighting,137.2,114.5,104,1633015,18,Confusion,Leaf Blade,Close Combat,5,75000
Poliwrath (Shadow),79.3,water,fighting,116.5,119.7,138,1924689,22,Mud Shot,Dynamic Punch,Ice Punch,3,50000
Relicanth,79.3,water,rock,105.2,137.5,147,2126096,22.5,Water Gun,Aqua Tail,Ancient Power,5,75000
Beedrill (Shadow),79.2,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,X-Scissor,Drill Run,1,10000
Piloswine,79.2,ice,ground,121.1,98.2,155,1842165,24,Powder Snow,Avalanche,Bulldoze,3,50000
Sirfetch'd,79.2,fighting,none,145.9,107.4,98,1536689,18.5,Counter,Leaf Blade,Night Slash,3,50000
Victini,79.1,psychic,fire,120.5,119.4,129,1855163,16.5,Confusion,V-Create,Psychic,20,100000
Kingdra,78.8,water,dragon,121.8,126.1,119,1828072,21,Dragon Breath,Outrage,Octazooka,3,50000
Omastar (Shadow),78.8,rock,water,126.1,128.4,109,1764728,20,Mud Shot,Rock Slide,Rock Blast,5,75000
Primeape,78.7,fighting,none,140.2,99.2,115,1598880,24.5,Counter,Night Slash,Ice Punch,3,50000
Uxie,78.7,psychic,none,102,176.8,122,2200329,22.5,Confusion,Future Sight,Thunder,20,100000
Blaziken,78.6,fire,fighting,144.4,90.8,118,1547820,19,Counter,Blaze Kick,Stone Edge,3,10000
Wailmer,78.6,water,none,117.4,68.3,239,1916533,48.5,Water Gun,Body Slam,Heavy Slam,1,10000
Shelgon,78.5,dragon,none,123.3,118.4,123,1795453,27.5,Dragon Breath,Flamethrower,Twister,5,75000
Gligar (Shadow),78.4,ground,flying,108,146.2,130,2052969,30.5,Wing Attack,Night Slash,Dig,5,75000
Mewtwo (Shadow),78.4,psychic,none,148.4,94.4,108,1512714,13,Psycho Cut,Psystrike,Ice Beam,20,100000
Pinsir (Shadow),78.4,bug,none,141.3,111.5,101,1591266,18.5,Fury Cutter,Close Combat,X-Scissor,5,75000
Dunsparce,78.3,normal,none,104.8,111,183,2127733,37.5,Bite,Rock Slide,Drill Run,3,50000
Dwebble,78.3,bug,rock,111.8,120.2,127,1705533,50,Smack Down,X-Scissor,Rock Blast,1,10000
Banette,78.1,ghost,none,146.8,91.9,113,1524534,24.5,Shadow Claw,Shadow Ball,Thunder,3,50000
Chesnaught,78.1,grass,fighting,119.9,124.6,125,1868328,19,Vine Whip,Superpower,Energy Ball,3,10000
Vespiquen,78.1,bug,flying,109.1,143.3,131,2049009,28.5,Fury Cutter,X-Scissor,Power Gem,3,50000
Zebstrika,78.1,electric,none,137.7,95.5,123,1617244,23,Spark,Wild Charge,Flame Charge,3,50000
Hitmonchan (Shadow),78,fighting,none,128.2,137.3,98,1725104,23.5,Counter,Ice Punch,Thunder Punch,5,75000
Piloswine (Shadow),78,ice,ground,121.1,98.2,155,1842165,24,Powder Snow,Avalanche,Bulldoze,3,50000
Charizard,77.9,fire,flying,132.2,108.3,117,1674892,19,Fire Spin,Blast Burn,Dragon Claw,3,10000
Muk (Shadow),77.8,poison,none,117.3,111.3,146,1906470,20.5,Poison Jab,Dark Pulse,Thunder Punch,3,50000
Poliwrath,77.8,water,fighting,116.5,119.7,138,1924689,22,Mud Shot,Dynamic Punch,Ice Punch,3,50000
Sudowoodo,77.8,rock,none,117.2,130.1,125,1905357,26,Counter,Rock Slide,Earthquake,5,75000
Vaporeon,77.7,water,none,119,97.2,163,1886587,17.5,Water Gun,Aqua Tail,Last Resort,5,75000
Suicune (Shadow),77.6,water,none,107.4,141.9,137,2089025,18.5,Snarl,Bubble Beam,Hydro Pump,20,100000
Golem,77.5,rock,ground,125.2,121.7,117,1782513,19,Mud Shot,Stone Edge,Rock Blast,1,10000
Ludicolo,77.5,water,grass,117.1,123.7,132,1912593,24,Bubble,Ice Beam,Leaf Storm,3,50000
Swalot,77.5,poison,none,104.1,123.4,168,2158208,28.5,Infestation,Sludge Bomb,Ice Beam,1,10000
Bibarel,77.4,normal,water,124.2,97.7,149,1807978,30.5,Water Gun,Surf,Hyper Fang,1,10000
Grotle (Shadow),77.4,grass,none,118.3,116.1,138,1895093,30.5,Razor Leaf,Body Slam,Energy Ball,3,10000
Jumpluff,77.4,grass,flying,97,153.5,155,2308399,41,Bullet Seed,Aerial Ace,Energy Ball,3,50000
Muk,77.4,poison,none,117.3,111.3,146,1906470,20.5,Poison Jab,Thunder Punch,Dark Pulse,3,50000
Ampharos (Shadow),77.3,electric,none,127.4,106.8,129,1754935,19.5,Volt Switch,Thunder Punch,Dragon Pulse,5,75000
Hariyama,77.3,fighting,none,125.6,75.5,186,1764581,19.5,Counter,Close Combat,Heavy Slam,3,50000
Ivysaur,77.3,grass,poison,120.3,121.1,128,1864071,37.5,Vine Whip,Power Whip,Sludge Bomb,3,10000
Pinsir,77.3,bug,none,141.3,111.5,101,1591266,18.5,Fury Cutter,Close Combat,X-Scissor,5,75000
