Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Swampert (Shadow),94.9,water,ground,158.5,140.7,176,3927038,31.5,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Swampert,93.8,water,ground,158.5,140.7,176,3927038,31.5,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Venusaur,93,grass,poison,158.5,155.4,160,3939799,39,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Escavalier,92.2,bug,steel,172.3,151.1,139,3619610,34,Counter,Drill Run,Megahorn,7,8,3,50000
Sirfetch'd,92,fighting,none,187.4,139.4,127,3318491,31,Counter,Leaf Blade,Brave Bird,5,8,3,50000
Venusaur (Shadow),92,grass,poison,158.5,155.4,160,3939799,39,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Sylveon,91.9,fairy,none,152.1,161.6,166,4081029,30.5,Charm,Moonblast,Psyshock,10,8,5,75000
Goodra,91.7,dragon,none,154.6,173.7,150,4028671,26,Dragon Breath,Power Whip,Muddy Water,17,12,5,75000
Nidoqueen (Shadow),91.6,poison,ground,153.3,148.6,174,3963627,40,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Heracross,91.2,bug,fighting,174.1,138.6,148,3571673,29.5,Counter,Rock Blast,Close Combat,6,7,3,50000
Machamp,91.1,fighting,none,174.1,126.6,161,3549074,30,Counter,Cross Chop,Rock Slide,5,7,3,50000
Machamp (Shadow),91,fighting,none,174.1,126.6,161,3549074,30,Counter,Cross Chop,Rock Slide,5,7,3,50000
Nidoqueen,91,poison,ground,153.3,148.6,174,3963627,40,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Meganium,90.1,grass,none,143,171.5,162,3974086,40,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Togekiss,89.9,fairy,flying,161.9,160.5,148,3844321,28,Charm,Aerial Ace,Flamethrower,8,10,3,50000
Gallade,89.8,psychic,fighting,177,149.5,133,3519444,29.5,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Granbull (Shadow),89.8,fairy,none,177.3,113.8,174,3510454,39,Charm,Close Combat,Crunch,8,8,3,50000
Gyarados,89.6,water,flying,167.3,139.5,158,3687813,27,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Gyarados (Shadow),89.5,water,flying,167.3,139.5,158,3687813,27,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Magnezone (Shadow),89.5,electric,steel,174.6,154.8,132,3567891,28,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Gardevoir (Shadow),89.3,psychic,fairy,177,149.5,133,3519444,29.5,Charm,Synchronoise,Shadow Ball,9,10,5,75000
Snorlax (Shadow),89.3,normal,none,139.1,131.2,244,4452740,28.5,Lick,Body Slam,Superpower,12,14,5,75000
Flygon,89,ground,dragon,167.2,141,157,3699365,36.5,Dragon Tail,Dragon Claw,Earth Power,4,7,5,75000
Tangrowth,88.7,grass,none,156.5,146.2,174,3981535,30.5,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Hariyama,88.4,fighting,none,163.6,97.1,240,3812132,35.5,Counter,Close Combat,Heavy Slam,7,8,3,50000
Dragalge,88.3,poison,dragon,150.2,175.4,140,3688235,40,Dragon Tail,Aqua Tail,Outrage,4,7,3,50000
Gliscor,88.3,ground,flying,148.8,185.8,151,4176599,39.5,Wing Attack,Night Slash,Earthquake,5,10,5,75000
Dragonite (Shadow),88.2,dragon,flying,176,138.1,145,3524817,24,Dragon Tail,Dragon Claw,Hurricane,4,8,5,75000
Flygon (Shadow),88.1,ground,dragon,167.2,141,157,3699365,36.5,Dragon Tail,Dragon Claw,Earth Power,4,7,5,75000
Electivire (Shadow),87.9,electric,none,185.1,130.2,139,3351363,30,Thunder Shock,Wild Charge,Ice Punch,5,5,5,75000
Lucario,87.9,fighting,steel,186.9,123.1,144,3313071,38,Counter,Power-Up Punch,Shadow Ball,5,8,5,75000
Clefable,87.7,fairy,none,152.5,139.9,180,3840494,40,Charm,Moonblast,Meteor Mash,10,9,1,10000
Magnezone,87.7,electric,steel,174.6,154.8,132,3567891,28,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Jellicent,87.6,water,ghost,137.5,151.7,188,3922765,40,Hex,Bubble Beam,Shadow Ball,4,5,3,50000
Hariyama (Shadow),87.5,fighting,none,163.6,97.1,240,3812132,35.5,Counter,Close Combat,Heavy Slam,7,8,3,50000
Muk (Shadow),87.5,poison,none,150,144.6,190,4120648,37,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Gengar,87.3,ghost,poison,200.3,120.9,128,3099260,34,Shadow Claw,Shadow Punch,Sludge Bomb,5,7,3,50000
Dragonite,87.1,dragon,flying,176,138.1,145,3524817,24,Dragon Tail,Dragon Claw,Hurricane,4,8,5,75000
Muk,86.9,poison,none,150,144.6,190,4120648,37,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Gallade (Shadow),86.8,psychic,fighting,177,149.5,133,3519444,29.5,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Roserade,86.6,grass,poison,183.7,148,124,3371877,32,Bullet Seed,Weather Ball (Fire),Leaf Storm,3,5,3,50000
Snorlax,86.6,normal,none,139.1,131.2,244,4452740,28.5,Lick,Body Slam,Superpower,12,14,5,75000
Lapras,86.5,water,ice,137.9,144.9,226,4514343,38,Ice Shard,Surf,Skull Bash,4,8,5,75000
Toxicroak,86.5,poison,fighting,177,117,165,3416470,40,Counter,Mud Bomb,Sludge Bomb,6,8,3,50000
Blaziken,86.4,fire,fighting,184.4,117.9,154,3347475,34,Counter,Blaze Kick,Blast Burn,6,8,3,10000
Chesnaught,86.4,grass,fighting,153.1,162.1,163,4043784,32.5,Vine Whip,Superpower,Energy Ball,5,7,3,10000
Ferrothorn,86.4,grass,steel,135.1,188.1,153,3889094,40,Bullet Seed,Power Whip,Flash Cannon,4,6,3,75000
Tangrowth (Shadow),86.4,grass,none,156.5,146.2,174,3981535,30.5,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Bouffalant,86.1,normal,none,153.7,150.6,175,4049855,35.5,Mud Shot,Stomp,Skull Bash,5,9,3,50000
Crobat (Shadow),86.1,poison,flying,160.2,148.7,163,3882621,36.5,Air Slash,Poison Fang,Shadow Ball,4,7,1,10000
Gliscor (Shadow),86.1,ground,flying,148.8,185.8,151,4176599,39.5,Wing Attack,Night Slash,Earthquake,5,10,5,75000
Sceptile,85.9,grass,none,175.5,140.7,143,3531846,37,Bullet Seed,Leaf Blade,Earthquake,3,5,3,10000
Granbull,85.8,fairy,none,177.3,113.8,174,3510454,39,Charm,Close Combat,Crunch,8,8,3,50000
Honchkrow (Shadow),85.8,dark,flying,193.3,91.2,183,3227317,37,Snarl,Brave Bird,Sky Attack,5,4,3,50000
Muk (Alolan),85.7,poison,dark,150,144.6,190,4120648,37,Snarl,Dark Pulse,Sludge Wave,4,5,3,50000
Crobat,85.6,poison,flying,160.2,148.7,163,3882621,36.5,Air Slash,Poison Fang,Shadow Ball,4,7,1,10000
Drifblim,85.6,ghost,flying,152.5,92.5,258,3638705,40,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Lapras (Shadow),85.6,water,ice,137.9,144.9,226,4514343,38,Ice Shard,Surf,Skull Bash,4,8,5,75000
Electivire,85.5,electric,none,185.1,130.2,139,3351363,30,Thunder Shock,Wild Charge,Ice Punch,5,5,5,75000
Pinsir (Shadow),85.5,bug,none,180.8,145.2,131,3437971,31.5,Fury Cutter,Close Combat,X-Scissor,12,9,5,75000
Abomasnow (Shadow),85.3,grass,ice,152.5,136.7,173,3607726,40,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Milotic,85.3,water,none,145.8,174,168,4262665,32,Dragon Tail,Surf,Blizzard,5,9,5,75000
Abomasnow,85.2,grass,ice,152.5,136.7,173,3607726,40,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Honchkrow,85.1,dark,flying,193.3,91.2,183,3227317,37,Snarl,Brave Bird,Sky Attack,5,4,3,50000
Politoed (Shadow),85,water,none,149.4,152.5,174,3964171,40,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Obstagoon,84.8,dark,normal,149,160.6,174,4165019,37.5,Counter,Night Slash,Cross Chop,5,5,3,10000
Kingdra,84.7,water,dragon,156.5,165.2,153,3954457,40,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Samurott,84.6,water,none,165.1,130,175,3755605,35.5,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Charizard,84.2,fire,flying,172.3,139,151,3617527,34,Fire Spin,Blast Burn,Dragon Claw,5,4,3,10000
Politoed,84.1,water,none,149.4,152.5,174,3964171,40,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Charizard (Shadow),83.8,fire,flying,172.3,139,151,3617527,34,Fire Spin,Blast Burn,Dragon Claw,5,4,3,10000
Aromatisse,83.7,fairy,none,147,130.4,190,3641954,40,Charm,Moonblast,Thunderbolt,10,10,3,50000
Gardevoir,83.7,psychic,fairy,177,149.5,133,3519444,29.5,Charm,Synchronoise,Shadow Ball,9,10,5,75000
Scolipede,83.7,bug,poison,171.5,150.2,133,3424908,40,Poison Jab,X-Scissor,Megahorn,5,8,1,10000
Scrafty,83.7,dark,fighting,139.1,187.3,140,3647313,40,Counter,Foul Play,Power-Up Punch,7,5,3,50000
Drapion (Shadow),83.2,poison,dark,152.5,171.5,147,3845195,40,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Falinks,83.1,fighting,none,164.4,144.6,140,3328330,40,Counter,Superpower,Megahorn,6,8,5,75000
Seismitoad,83.1,water,ground,157.7,129.5,193,3940713,39,Mud Shot,Earth Power,Muddy Water,7,4,3,50000
Typhlosion,83.1,fire,none,172.3,139,151,3617527,34,Incinerate,Blast Burn,Solar Beam,3,4,3,10000
Pangoro,83,fighting,dark,172.4,120.7,172,3580370,33,Snarl,Close Combat,Night Slash,4,3,3,50000
Vileplume (Shadow),83,grass,poison,169.5,142.8,152,3678801,39,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Skarmory,82.7,steel,flying,128.8,190.5,140,3434920,40,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Leafeon,82.5,grass,none,164.4,173.3,132,3760297,32,Bullet Seed,Leaf Blade,Last Resort,3,5,5,75000
Rapidash (Galarian),82.5,psychic,fairy,175.4,138.3,140,3397059,40,Psycho Cut,Body Slam,Psychic,4,7,3,50000
Steelix,82.4,steel,ground,128.8,225.2,154,4468247,40,Dragon Tail,Crunch,Earthquake,5,8,5,75000
Talonflame,82.4,fire,flying,150.9,134.4,158,3204228,40,Incinerate,Brave Bird,Flame Charge,3,3,1,10000
Staraptor,82.3,normal,flying,182,117.3,160,3415476,35,Wing Attack,Brave Bird,Close Combat,8,7,1,10000
Drapion,82.1,poison,dark,152.5,171.5,147,3845195,40,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Primeape,82.1,fighting,none,174.7,120.9,139,2935503,40,Counter,Night Slash,Close Combat,5,7,3,50000
Ampharos,82,electric,none,164.4,140.7,164,3791746,35.5,Volt Switch,Thunder Punch,Focus Blast,3,5,5,75000
