Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Registeel (XL),100,steel,none,122.5,246.7,168,5077408,47.5,Lock On,Focus Blast,Flash Cannon
Cresselia,96.1,psychic,none,121.1,206.4,206,5148092,35,Psycho Cut,Grass Knot,Moonblast
Umbreon (XL),95,dark,none,118.5,214.3,194,4925267,50,Snarl,Foul Play,Last Resort
Registeel,94.8,steel,none,124.9,237.1,162,4795980,40,Lock On,Focus Blast,Flash Cannon
Steelix (XL),94.8,steel,ground,127.4,234,163,4860385,48.5,Dragon Tail,Earthquake,Crunch
Suicune,94,water,none,139.3,182.9,176,4482993,33.5,Snarl,Bubble Beam,Ice Beam
Mandibuzz (XL),93.8,dark,flying,121,184.9,215,4809416,50,Snarl,Foul Play,Aerial Ace
Abomasnow (XL),93.4,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Ferrothorn (XL),93,grass,steel,139.5,198,162,4473679,49,Bullet Seed,Power Whip,Flash Cannon
Clefable (XL),92.4,fairy,none,151.9,144.4,187,4101296,47,Charm,Moonblast,Meteor Mash
Giratina (Altered),91.5,ghost,dragon,135.9,164.6,205,4586622,27.5,Shadow Claw,Dragon Claw,Shadow Sneak
Clefable,90.1,fairy,none,152.5,139.9,182,3883166,40,Charm,Moonblast,Meteor Mash
Lickilicky (XL),90.1,normal,none,136.2,160,209,4552337,46,Lick,Body Slam,Shadow Ball
Lapras (XL),89.5,water,ice,133.2,150.8,232,4660780,41.5,Ice Shard,Surf,Ice Beam
Togekiss,89.5,fairy,flying,162.5,161.8,145,3813620,27.5,Charm,Ancient Power,Flamethrower
Politoed (XL),88.5,water,none,145.7,160.6,182,4258342,47.5,Mud Shot,Weather Ball (Water),Blizzard
Stunfisk (Galarian XL),88.5,ground,steel,133.6,156.3,214,4468817,50,Mud Shot,Rock Slide,Earthquake
Abomasnow (Shadow XL),87.5,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Ninetales (Alolan XL),87.2,ice,fairy,149.5,173.7,160,4156438,49,Powder Snow,Weather Ball (Ice),Psyshock
Lickilicky,86.4,normal,none,139.1,154.9,203,4373698,40,Lick,Body Slam,Shadow Ball
Lapras,85.8,water,ice,137.4,145.1,226,4505256,37.5,Ice Shard,Surf,Ice Beam
Meganium (XL),85.6,grass,none,142,180.4,171,4381106,49,Vine Whip,Frenzy Plant,Earthquake
Articuno,85,ice,flying,145.9,185.9,157,4260147,31.5,Ice Shard,Icy Wind,Hurricane
Drifblim (XL),85,ghost,flying,154.4,96.3,270,4016102,48,Hex,Shadow Ball,Icy Wind
Blastoise (XL),84.8,water,none,142.8,181.8,168,4362665,48,Water Gun,Hydro Cannon,Ice Beam
Talonflame (XL),84.8,fire,flying,160.5,142.9,168,3851770,50,Incinerate,Brave Bird,Flame Charge
Gyarados,84.6,water,flying,170.2,135.2,159,3659571,27.5,Dragon Breath,Aqua Tail,Crunch
Skarmory (XL),84.4,steel,flying,137,202.5,149,4132945,50,Air Slash,Brave Bird,Sky Attack
Abomasnow,83.8,grass,ice,152.5,136.7,175,3649433,40,Powder Snow,Weather Ball (Ice),Energy Ball
Sandslash (Alolan XL),83.8,ice,steel,149.4,172.5,161,4148341,47,Powder Snow,Ice Punch,Bulldoze
Steelix,83.8,steel,ground,128.8,226.8,154,4499603,40,Dragon Tail,Earthquake,Crunch
Obstagoon,82.5,dark,normal,148.9,160.4,174,4154681,36,Counter,Night Slash,Gunk Shot
Snorlax,82.3,normal,none,141.2,127.7,245,4416410,28.5,Lick,Body Slam,Earthquake
Suicune (Shadow),81.3,water,none,139.3,182.9,176,4482993,33.5,Snarl,Bubble Beam,Ice Beam
Articuno (Shadow),81.1,ice,flying,145.9,185.9,157,4260147,31.5,Ice Shard,Icy Wind,Hurricane
Lugia,80.9,psychic,flying,133.6,215.1,162,4654446,25,Dragon Tail,Sky Attack,Aeroblast
Lapras (Shadow),80.3,water,ice,137.4,145.1,226,4505256,37.5,Ice Shard,Surf,Ice Beam
Ferrothorn,80.1,grass,steel,136.7,188.1,153,3934581,40,Bullet Seed,Power Whip,Flash Cannon
Regirock,79.5,rock,none,134.6,237.1,144,4596121,30,Lock On,Stone Edge,Focus Blast
Muk (Alolan),79.3,poison,dark,151.9,142.5,189,4092111,38,Snarl,Dark Pulse,Gunk Shot
Mandibuzz,79,dark,flying,113.8,173.9,203,4016661,40,Snarl,Foul Play,Shadow Ball
Swampert,78.4,water,ground,159.2,138.3,177,3897624,32,Mud Shot,Hydro Cannon,Earthquake
