Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Gengar,100,ghost,poison,202.5,118.6,128,3075577,34,Shadow Claw,Shadow Ball,Shadow Punch
Talonflame (XL),98.7,fire,flying,160.5,142.9,168,3851770,50,Incinerate,Brave Bird,Flame Charge
Abomasnow (Shadow XL),97.1,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Politoed (Shadow XL),96.5,water,none,145.7,160.6,182,4258342,47.5,Mud Shot,Weather Ball (Water),Blizzard
Lucario,95.5,fighting,steel,188.4,121.2,144,3287695,38.5,Counter,Power-Up Punch,Shadow Ball
Politoed (XL),95.2,water,none,145.7,160.6,182,4258342,47.5,Mud Shot,Weather Ball (Water),Blizzard
Swampert,94.8,water,ground,159.2,138.3,177,3897624,32,Mud Shot,Hydro Cannon,Earthquake
Politoed (Shadow),94.4,water,none,149.4,153.3,175,4007611,40,Mud Shot,Weather Ball (Water),Blizzard
Shiftry (Shadow XL),94.2,grass,dark,173.5,112.9,183,3585967,48,Snarl,Leaf Blade,Foul Play
Articuno (Shadow),94.1,ice,flying,145.9,185.9,157,4260147,31.5,Ice Shard,Icy Wind,Hurricane
Abomasnow (Shadow),93.4,grass,ice,152.5,136.7,175,3649433,40,Powder Snow,Weather Ball (Ice),Energy Ball
Abomasnow (XL),93.3,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Zangoose (XL),93.2,normal,none,184.9,114.7,158,3350762,47,Shadow Claw,Close Combat,Night Slash
Zapdos (Shadow),93.2,electric,flying,178.1,132,149,3504017,26.5,Thunder Shock,Drill Peck,Thunderbolt
Honchkrow,93,dark,flying,193.2,91.1,182,3204121,38,Snarl,Brave Bird,Sky Attack
Articuno,92.8,ice,flying,145.9,185.9,157,4260147,31.5,Ice Shard,Icy Wind,Hurricane
Swampert (Shadow),92.8,water,ground,159.2,138.3,177,3897624,32,Mud Shot,Hydro Cannon,Earthquake
Machamp (Shadow),92.5,fighting,none,174.9,125.1,161,3522784,30,Counter,Cross Chop,Payback
Electivire (Shadow),92.3,electric,none,186.5,128.4,139,3328791,29.5,Thunder Shock,Wild Charge,Ice Punch
Shiftry (XL),92.3,grass,dark,173.5,112.9,183,3585967,48,Snarl,Leaf Blade,Foul Play
Charizard (Shadow),92,fire,flying,173.6,141.7,146,3590982,35,Dragon Breath,Blast Burn,Dragon Claw
Drifblim (XL),92,ghost,flying,154.4,96.3,270,4016102,48,Hex,Shadow Ball,Icy Wind
Stunfisk (Galarian XL),91.9,ground,steel,133.6,156.3,214,4468817,50,Mud Shot,Rock Slide,Earthquake
Charizard,91.5,fire,flying,173.6,141.7,146,3590982,35,Dragon Breath,Blast Burn,Dragon Claw
