Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Registeel (XL),100,steel,none,122.5,246.7,168,5077408,47.5,Lock On,Focus Blast,Flash Cannon
Regice,99,ice,none,134.6,237.1,144,4596121,30,Lock On,Blizzard,Earthquake
Electivire (Shadow),97,electric,none,186.5,128.4,139,3328791,29.5,Thunder Shock,Wild Charge,Ice Punch
Registeel,96.7,steel,none,124.9,237.1,162,4795980,40,Lock On,Focus Blast,Flash Cannon
Raikou (Shadow),96.2,electric,none,171,141.7,150,3633564,26,Volt Switch,Wild Charge,Shadow Ball
Stunfisk (Galarian XL),96.2,ground,steel,133.6,156.3,214,4468817,50,Mud Shot,Rock Slide,Earthquake
Regirock,95.4,rock,none,134.6,237.1,144,4596121,30,Lock On,Stone Edge,Focus Blast
Ho-Oh,94.9,fire,flying,158.7,165.1,148,3877539,23.5,Incinerate,Brave Bird,Earthquake
Talonflame (XL),94.7,fire,flying,160.5,142.9,168,3851770,50,Incinerate,Brave Bird,Flame Charge
Cresselia,94.1,psychic,none,121.1,206.4,206,5148092,35,Psycho Cut,Grass Knot,Moonblast
Magnezone (Shadow),94.1,electric,steel,174.8,158.3,128,3541430,29,Spark,Wild Charge,Mirror Shot
Skarmory (XL),93.6,steel,flying,137,202.5,149,4132945,50,Air Slash,Brave Bird,Sky Attack
Raikou,92.7,electric,none,171,141.7,150,3633564,26,Volt Switch,Wild Charge,Shadow Ball
Blastoise (XL),92.6,water,none,142.8,181.8,168,4362665,48,Water Gun,Hydro Cannon,Ice Beam
Swampert,92.6,water,ground,159.2,138.3,177,3897624,32,Mud Shot,Hydro Cannon,Earthquake
Ferrothorn (XL),92.4,grass,steel,139.5,198,162,4473679,49,Bullet Seed,Power Whip,Flash Cannon
Steelix (XL),92.1,steel,ground,127.4,234,163,4860385,48.5,Dragon Tail,Earthquake,Crunch
Venusaur (Shadow),91.9,grass,poison,159.3,155.4,158,3909812,39,Vine Whip,Frenzy Plant,Sludge Bomb
Abomasnow (Shadow XL),91.4,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Meganium (XL),91.4,grass,none,142,180.4,171,4381106,49,Vine Whip,Frenzy Plant,Earthquake
Swampert (Shadow),91.4,water,ground,159.2,138.3,177,3897624,32,Mud Shot,Hydro Cannon,Earthquake
Heracross,91.1,bug,fighting,174.8,138.8,146,3543694,29,Counter,Close Combat,Megahorn
Umbreon (XL),91.1,dark,none,118.5,214.3,194,4925267,50,Snarl,Foul Play,Last Resort
Muk (Alolan),90.8,poison,dark,151.9,142.5,189,4092111,38,Snarl,Dark Pulse,Gunk Shot
Typhlosion,90.8,fire,none,173.6,141.7,146,3590982,35,Shadow Claw,Blast Burn,Solar Beam
Giratina (Origin),90.5,ghost,dragon,153.4,132.9,197,4016440,24.5,Shadow Claw,Shadow Ball,Dragon Pulse
Lugia,90.1,psychic,flying,133.6,215.1,162,4654446,25,Dragon Tail,Sky Attack,Aeroblast
Mandibuzz (XL),90.1,dark,flying,121,184.9,215,4809416,50,Snarl,Foul Play,Aerial Ace
Perrserker (XL),89.8,steel,none,164.6,147.8,156,3795326,49,Shadow Claw,Close Combat,Foul Play
Escavalier,89.6,bug,steel,172.3,148.9,140,3590966,34,Counter,Megahorn,Drill Run
Politoed (XL),89.6,water,none,145.7,160.6,182,4258342,47.5,Mud Shot,Weather Ball (Water),Blizzard
Mewtwo (Armored),89.5,psychic,none,135.7,205.3,164,4569169,29.5,Confusion,Psystrike,Dynamic Punch
Abomasnow (XL),89.1,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Venusaur,89.1,grass,poison,159.3,155.4,158,3909812,39,Vine Whip,Frenzy Plant,Sludge Bomb
Jellicent (XL),88.8,water,ghost,138.7,161.2,200,4470750,49,Hex,Shadow Ball,Ice Beam
Sirfetchd,88.7,fighting,none,188.2,140,125,3292991,31.5,Counter,Close Combat,Leaf Blade
Chesnaught,88.5,grass,fighting,154.9,160.8,161,4011835,31,Vine Whip,Superpower,Energy Ball
Lapras (XL),88.5,water,ice,133.2,150.8,232,4660780,41.5,Ice Shard,Surf,Ice Beam
Uxie,88,psychic,none,135.1,222.9,153,4608087,40,Confusion,Future Sight,Thunder
Hariyama,87.8,fighting,none,164.5,97.5,236,3784324,35,Counter,Close Combat,Heavy Slam
Steelix,87.8,steel,ground,128.8,226.8,154,4499603,40,Dragon Tail,Earthquake,Crunch
