Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Talonflame (XL),100,fire,flying,160.5,142.9,168,3851770,50,Incinerate,Brave Bird,Flame Charge
Abomasnow (XL),96.9,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Abomasnow (Shadow XL),95.2,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Articuno,94.6,ice,flying,145.9,185.9,157,4260147,31.5,Ice Shard,Icy Wind,Hurricane
Drifblim (XL),94.6,ghost,flying,154.4,96.3,270,4016102,48,Hex,Shadow Ball,Icy Wind
Cresselia,93.9,psychic,none,121.1,206.4,206,5148092,35,Psycho Cut,Grass Knot,Moonblast
Stunfisk (Galarian XL),92.3,ground,steel,133.6,156.3,214,4468817,50,Mud Shot,Rock Slide,Earthquake
Swampert,92.3,water,ground,159.2,138.3,177,3897624,32,Mud Shot,Hydro Cannon,Earthquake
Lapras (XL),91.8,water,ice,133.2,150.8,232,4660780,41.5,Ice Shard,Surf,Ice Beam
Scrafty (XL),91.6,dark,fighting,146.6,194.4,149,4246165,49.5,Counter,Foul Play,Power-Up Punch
Mandibuzz (XL),91.4,dark,flying,121,184.9,215,4809416,50,Snarl,Foul Play,Aerial Ace
Meganium (XL),91.3,grass,none,142,180.4,171,4381106,49,Vine Whip,Frenzy Plant,Earthquake
Ninetales (Alolan XL),91,ice,fairy,149.5,173.7,160,4156438,49,Powder Snow,Weather Ball (Ice),Psyshock
Abomasnow (Shadow),90.2,grass,ice,152.5,136.7,175,3649433,40,Powder Snow,Weather Ball (Ice),Energy Ball
Umbreon (XL),90.2,dark,none,118.5,214.3,194,4925267,50,Snarl,Foul Play,Last Resort
Registeel (XL),90.1,steel,none,122.5,246.7,168,5077408,47.5,Lock On,Focus Blast,Flash Cannon
Gardevoir (Shadow),89.9,psychic,fairy,178.5,149.5,131,3494934,29.5,Charm,Synchronoise,Shadow Ball
Shiftry (XL),89.9,grass,dark,173.5,112.9,183,3585967,48,Snarl,Leaf Blade,Foul Play
Articuno (Shadow),89.8,ice,flying,145.9,185.9,157,4260147,31.5,Ice Shard,Icy Wind,Hurricane
Machamp (Shadow),89.8,fighting,none,174.9,125.1,161,3522784,30,Counter,Cross Chop,Payback
Clefable (XL),89.6,fairy,none,151.9,144.4,187,4101296,47,Charm,Moonblast,Meteor Mash
Ferrothorn (XL),89.6,grass,steel,139.5,198,162,4473679,49,Bullet Seed,Power Whip,Flash Cannon
Magnezone (Shadow),89.6,electric,steel,174.8,158.3,128,3541430,29,Spark,Wild Charge,Mirror Shot
Suicune (Shadow),89.3,water,none,139.3,182.9,176,4482993,33.5,Snarl,Bubble Beam,Ice Beam
Giratina (Altered),89.2,ghost,dragon,135.9,164.6,205,4586622,27.5,Shadow Claw,Dragon Claw,Shadow Sneak
