Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Politoed (XL),100,water,none,145.7,160.6,182,4258342,47.5,Mud Shot,Weather Ball (Water),Blizzard
Cresselia,97.6,psychic,none,121.1,206.4,206,5148092,35,Psycho Cut,Grass Knot,Moonblast
Politoed (Shadow XL),97,water,none,145.7,160.6,182,4258342,47.5,Mud Shot,Weather Ball (Water),Blizzard
Stunfisk (Galarian XL),96.2,ground,steel,133.6,156.3,214,4468817,50,Mud Shot,Rock Slide,Earthquake
Zangoose (XL),96.2,normal,none,184.9,114.7,158,3350762,47,Shadow Claw,Close Combat,Night Slash
Giratina (Altered),94.7,ghost,dragon,135.9,164.6,205,4586622,27.5,Shadow Claw,Dragon Claw,Shadow Sneak
Politoed (Shadow),92.7,water,none,149.4,153.3,175,4007611,40,Mud Shot,Weather Ball (Water),Blizzard
Suicune,92.1,water,none,139.3,182.9,176,4482993,33.5,Snarl,Bubble Beam,Ice Beam
Suicune (Shadow),90.6,water,none,139.3,182.9,176,4482993,33.5,Snarl,Bubble Beam,Ice Beam
Zangoose,90.6,normal,none,187.3,109.9,151,3106877,40,Shadow Claw,Close Combat,Night Slash
Zapdos (Shadow),90.6,electric,flying,178.1,132,149,3504017,26.5,Thunder Shock,Drill Peck,Thunderbolt
Politoed,90.4,water,none,149.4,153.3,175,4007611,40,Mud Shot,Weather Ball (Water),Blizzard
Abomasnow (Shadow XL),89.2,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Drifblim (XL),88.6,ghost,flying,154.4,96.3,270,4016102,48,Hex,Shadow Ball,Icy Wind
Abomasnow (XL),88.2,grass,ice,153.3,142.4,185,4039767,49.5,Powder Snow,Weather Ball (Ice),Energy Ball
Mandibuzz (XL),88.2,dark,flying,121,184.9,215,4809416,50,Snarl,Foul Play,Aerial Ace
Lapras (XL),87.7,water,ice,133.2,150.8,232,4660780,41.5,Ice Shard,Surf,Ice Beam
Umbreon (XL),87,dark,none,118.5,214.3,194,4925267,50,Snarl,Foul Play,Last Resort
Meganium (XL),86.7,grass,none,142,180.4,171,4381106,49,Vine Whip,Frenzy Plant,Earthquake
Mewtwo (Armored),86.4,psychic,none,135.7,205.3,164,4569169,29.5,Confusion,Psystrike,Dynamic Punch
Machamp (Shadow),85.7,fighting,none,174.9,125.1,161,3522784,30,Counter,Cross Chop,Payback
Lugia,85.5,psychic,flying,133.6,215.1,162,4654446,25,Dragon Tail,Sky Attack,Aeroblast
Registeel (XL),85.4,steel,none,122.5,246.7,168,5077408,47.5,Lock On,Focus Blast,Flash Cannon
Electivire (Shadow),85.1,electric,none,186.5,128.4,139,3328791,29.5,Thunder Shock,Wild Charge,Ice Punch
Machamp,84.8,fighting,none,174.9,125.1,161,3522784,30,Counter,Cross Chop,Payback
Ninetales (Alolan XL),84.3,ice,fairy,149.5,173.7,160,4156438,49,Powder Snow,Weather Ball (Ice),Psyshock
Lickilicky (XL),84,normal,none,136.2,160,209,4552337,46,Lick,Body Slam,Shadow Ball
Regirock,84,rock,none,134.6,237.1,144,4596121,30,Lock On,Stone Edge,Focus Blast
Lapras (Shadow),83.9,water,ice,137.4,145.1,226,4505256,37.5,Ice Shard,Surf,Ice Beam
Muk (Alolan),83.3,poison,dark,151.9,142.5,189,4092111,38,Snarl,Dark Pulse,Gunk Shot
Snorlax,83.3,normal,none,141.2,127.7,245,4416410,28.5,Lick,Body Slam,Earthquake
Gyarados,83.1,water,flying,170.2,135.2,159,3659571,27.5,Dragon Breath,Aqua Tail,Crunch
Lapras,82.8,water,ice,137.4,145.1,226,4505256,37.5,Ice Shard,Surf,Ice Beam
Swampert,82.8,water,ground,159.2,138.3,177,3897624,32,Mud Shot,Hydro Cannon,Earthquake
Gliscor (Shadow),82.7,ground,flying,149.6,183.5,151,4145324,39.5,Fury Cutter,Night Slash,Earthquake
Magnezone (Shadow),82.7,electric,steel,174.8,158.3,128,3541430,29,Spark,Wild Charge,Mirror Shot
Snorlax (Shadow),82.5,normal,none,141.2,127.7,245,4416410,28.5,Lick,Body Slam,Earthquake
Hypno (XL),82.4,psychic,none,133.6,174.8,178,4156705,50,Confusion,Fire Punch,Shadow Ball
Abomasnow (Shadow),81.8,grass,ice,152.5,136.7,175,3649433,40,Powder Snow,Weather Ball (Ice),Energy Ball
Articuno,81.8,ice,flying,145.9,185.9,157,4260147,31.5,Ice Shard,Icy Wind,Hurricane
Gardevoir (Shadow),81.5,psychic,fairy,178.5,149.5,131,3494934,29.5,Charm,Synchronoise,Shadow Ball
Perrserker (XL),81.5,steel,none,164.6,147.8,156,3795326,49,Shadow Claw,Close Combat,Foul Play
Regice,81.3,ice,none,134.6,237.1,144,4596121,30,Lock On,Blizzard,Earthquake
Clefable (XL),81.1,fairy,none,151.9,144.4,187,4101296,47,Charm,Moonblast,Meteor Mash
Gliscor,80.9,ground,flying,149.6,183.5,151,4145324,39.5,Fury Cutter,Night Slash,Earthquake
Zapdos,80.6,electric,flying,178.1,132,149,3504017,26.5,Thunder Shock,Drill Peck,Thunderbolt
Crustle (XL),80.5,bug,rock,154,173.4,151,4031215,44,Fury Cutter,Rock Slide,X-Scissor
Tangrowth,80.5,grass,none,157.9,143.9,174,3952201,31,Vine Whip,Power Whip,Rock Slide
Articuno (Shadow),80.2,ice,flying,145.9,185.9,157,4260147,31.5,Ice Shard,Icy Wind,Hurricane
Genesect (Burn),80.2,bug,steel,180.2,145.8,129,3388487,26.5,Fury Cutter,X-Scissor,Techno Blast (Burn)
Lickilicky,80.2,normal,none,139.1,154.9,203,4373698,40,Lick,Body Slam,Shadow Ball
Meganium,80,grass,none,144.6,171.5,162,4017999,40,Vine Whip,Frenzy Plant,Earthquake
Stunfisk (Galarian),80,ground,steel,125.7,147,201,3712702,40,Mud Shot,Rock Slide,Earthquake
Crustle,79.9,bug,rock,158.9,168.3,146,3904024,40,Fury Cutter,Rock Slide,X-Scissor
Gyarados (Shadow),79.6,water,flying,170.2,135.2,159,3659571,27.5,Dragon Breath,Aqua Tail,Crunch
Drifblim,79.4,ghost,flying,154.1,92.5,258,3676412,40,Hex,Shadow Ball,Icy Wind
Muk (Shadow),79.4,poison,none,151.9,142.5,189,4092111,38,Poison Jab,Dark Pulse,Thunder Punch
Shiftry (XL),79.4,grass,dark,173.5,112.9,183,3585967,48,Snarl,Leaf Blade,Foul Play
Venusaur (Shadow),79.4,grass,poison,159.3,155.4,158,3909812,39,Vine Whip,Frenzy Plant,Sludge Bomb
Venusaur,79.3,grass,poison,159.3,155.4,158,3909812,39,Vine Whip,Frenzy Plant,Sludge Bomb
Abomasnow,78.5,grass,ice,152.5,136.7,175,3649433,40,Powder Snow,Weather Ball (Ice),Energy Ball
Charizard,78.5,fire,flying,173.6,141.7,146,3590982,35,Dragon Breath,Blast Burn,Dragon Claw
Registeel,78.4,steel,none,124.9,237.1,162,4795980,40,Lock On,Focus Blast,Flash Cannon
Perrserker,77.6,steel,none,166,139.9,147,3412667,40,Shadow Claw,Close Combat,Foul Play
