"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Shadow Mewtwo","Confusion","Psystrike","25.4","662.7","10859.6","4178"
"Shadow Mewtwo","Psycho Cut","Psystrike","25.328","660.8","10735.8","4178"
"Shadow Mewtwo","Confusion","Psychic","23.63","616.5","8134.4","4178"
"Shadow Mewtwo","Psycho Cut","Psychic","23.257","606.8","7632.6","4178"
"Shadow Metagross","Bullet Punch","Meteor Mash","21.763","627","6462.6","3791"
"Shadow Mewtwo","Confusion","Shadow Ball","21.873","570.6","5971.5","4178"
"Shadow Salamence","Dragon Tail","Outrage","22.163","541.8","5898.5","3749"
"Shadow Metagross","Zen Headbutt","Meteor Mash","21.128","608.7","5740.4","3791"
"Shadow Mewtwo","Psycho Cut","Shadow Ball","21.213","553.4","5282.4","4178"
"Shadow Salamence","Dragon Tail","Draco Meteor","21.532","526.4","5254.9","3749"
"Shadow Dragonite","Dragon Tail","Outrage","20.854","575.4","5218.5","3792"
"Shadow Salamence","Fire Fang","Outrage","21.22","518.8","4957","3749"
"Shadow Moltres","Fire Spin","Sky Attack","21.042","529.5","4933.1","3465"
"Shadow Dragonite","Dragon Tail","Draco Meteor","20.404","563","4782","3792"
"Shadow Dragonite","Dragon Breath","Outrage","20.307","560.3","4692.3","3792"
"Shadow Mewtwo","Confusion","Thunderbolt","20.537","535.8","4641","4178"
"Shadow Moltres","Wing Attack","Sky Attack","20.564","517.4","4499.4","3465"
"Shadow Salamence","Bite","Outrage","20.591","503.4","4394.8","3749"
"Shadow Mewtwo","Confusion","Hyper Beam","20.244","528.2","4382","4178"
"Shadow Dragonite","Dragon Tail","Dragon Claw","19.882","548.6","4311.6","3792"
"Shadow Metagross","Bullet Punch","Psychic","19.586","564.2","4239.4","3791"
"Shadow Mewtwo","Confusion","Focus Blast","20.04","522.8","4207.8","4178"
"Shadow Mewtwo","Confusion","Flamethrower","19.957","520.7","4138.5","4178"
"Shadow Dragonite","Dragon Breath","Draco Meteor","19.669","542.7","4129.4","3792"
"Shadow Mamoswine","Mud Slap","Avalanche","20.377","487.6","4125.6","3328"
"Shadow Dragonite","Steel Wing","Outrage","19.614","541.2","4084","3792"
"Shadow Salamence","Fire Fang","Draco Meteor","20.069","490.6","3965.8","3749"
"Shadow Raikou","Thunder Shock","Wild Charge","19.513","526.1","3908.3","3452"
"Shadow Mewtwo","Confusion","Ice Beam","19.657","512.8","3895.3","4178"
"Shadow Metagross","Zen Headbutt","Psychic","19.175","552.4","3894.3","3791"
"Shadow Mewtwo","Psycho Cut","Thunderbolt","19.538","509.7","3801.7","4178"
"Shadow Entei","Fire Fang","Overheat","19.076","545.8","3789.2","3473"
"Shadow Dragonite","Dragon Breath","Dragon Claw","19.21","530","3757.5","3792"
"Shadow Dragonite","Dragon Tail","Hurricane","19.106","527.2","3676.7","3792"
"Shadow Moltres","Fire Spin","Overheat","19.532","491.5","3662.5","3465"
"Shadow Raikou","Volt Switch","Wild Charge","19.185","517.2","3652.3","3452"
"Shadow Dragonite","Dragon Tail","Dragon Pulse","19.042","525.4","3628","3792"
"Shadow Zapdos","Thunder Shock","Drill Peck","19.366","497.3","3611.4","3527"
"Shadow Mewtwo","Psycho Cut","Hyper Beam","19.205","501","3549.1","4178"
"Shadow Mamoswine","Powder Snow","Avalanche","19.513","466.9","3468.9","3328"
"Shadow Entei","Fire Spin","Overheat","18.644","533.4","3456.9","3473"
"Shadow Alakazam","Confusion","Psychic","21.197","359.2","3420.8","3057"
"Shadow Electivire","Thunder Shock","Wild Charge","20.271","409","3406.4","3079"
"Shadow Zapdos","Thunder Shock","Thunderbolt","19.049","489.1","3381.2","3527"
"Shadow Swampert","Water Gun","Hydro Cannon","18.92","498.9","3379.3","2974"
"Shadow Salamence","Dragon Tail","Hydro Pump","19.267","471","3369","3749"
"Shadow Mewtwo","Psycho Cut","Focus Blast","18.913","493.4","3338.1","4178"
"Shadow Machamp","Counter","Dynamic Punch","19.65","439","3330.3","3056"
"Shadow Salamence","Bite","Draco Meteor","19.184","469","3311","3749"
"Shadow Dragonite","Steel Wing","Draco Meteor","18.61","513.5","3309.5","3792"
"Shadow Swampert","Mud Shot","Hydro Cannon","18.788","495.5","3286.1","2974"
"Shadow Weavile","Snarl","Avalanche","20.089","404.1","3275.8","3005"
"Shadow Alakazam","Psycho Cut","Psychic","20.925","354.6","3248.8","3057"
"Shadow Dragonite","Dragon Tail","Hyper Beam","18.517","510.9","3244","3792"
"Shadow Mewtwo","Psycho Cut","Flamethrower","18.767","489.6","3236.5","4178"
"Shadow Moltres","Wing Attack","Overheat","18.926","476.2","3228.3","3465"
"Shadow Dragonite","Dragon Breath","Dragon Pulse","18.468","509.6","3209.7","3792"
"Shadow Entei","Fire Fang","Flamethrower","18.293","523.4","3204.3","3473"
"Shadow Zapdos","Charge Beam","Drill Peck","18.771","482","3188","3527"
"Shadow Dragonite","Steel Wing","Dragon Claw","18.427","508.4","3181.2","3792"
"Shadow Mewtwo","Psycho Cut","Ice Beam","18.675","487.2","3173.4","4178"
"Shadow Machamp","Karate Chop","Dynamic Punch","19.314","431.5","3108.7","3056"
"Shadow Dragonite","Dragon Breath","Hurricane","18.315","505.4","3104.9","3792"
"Shadow Magnezone","Spark","Wild Charge","18.939","450.6","3060.9","3205"
"Shadow Charizard","Fire Spin","Blast Burn","19.253","420.7","3002.5","2889"
"Shadow Alakazam","Counter","Psychic","20.446","346.5","2961.4","3057"
"Shadow Entei","Fire Spin","Flamethrower","17.936","513.2","2961.4","3473"
"Shadow Raikou","Thunder Shock","Thunderbolt","18.152","489.4","2927.1","3452"
"Shadow Zapdos","Charge Beam","Thunderbolt","18.328","470.6","2897.4","3527"
"Shadow Tyranitar","Bite","Stone Edge","17.462","538","2864.6","3834"
